context,tel_Telu
All packaged and canned food items contain a very high level of sodium because of the presence of salt that is used as a preservative. If you are in the habit of adding table salt to your food you are consuming excess salt. Use of excess salt is linked with hypertension.,"ప్యాక్ చేయబడిన, డబ్బాలలో ఆహారపదార్థాలలో ఉప్పును సంరక్షణకారిగా వాడటం వలన చాలా అధిక స్థాయి సోడియం ఉంటుంది."
"Always secure CRS safely in the vehicle or stow it in the luggage compartment if not being used. While the vehicle is in motion an unre- strained CRS could flung through the vehicle interior in the event of a sud- den braking, maneuver or an accident. This could cause injuries to the travel- ling occupants.","వాహనం కదులుతూ ఉండగా హఠాత్తుగా బ్రేక్ వేయడం, విన్యాసాలు చేయడం లేదా ప్రమాదం వంటివి సంభవించినప్పుడు బిగించి కట్టబడని సి.ఆర్. ఎస్ వాహన లోపలిభాగం గుండా దూసుకుపోగలదు."
"As he had not even two hundred and fifty men with him in the forst, the English naturally expected that the chief must have already evacuated the place. But, on that very morning, one of the white prisoners whom Narapat Singh had released came to the English camp and informed the general that he had heard Narapat Singh say that he would evacuate the fort but not until he had had his vengeance. Not until a gory fight is fought, not until one bloody defeat is inflicted will Narapat leave his fort!","కాని, అదే ఉదయం నరపత్ సింగ్ విడుదల చేసిన తెల్లజాతి ఖైదీలలో ఒకరు ఆంగ్లేయుల శిబిరం వద్దకు వచ్చి, నరపత్ సింగ్ తాను కోటను ఖాళీ చేస్తానని, అయితే తన పగ తీర్చుకునేంత వరకు చేయనని చెప్పడం తాను విన్నట్లు జనరల్‌కు తెలియజేసాడు."
"At this time, the greater part of the Punjab army was at Mian Mir. As the camp of Mian Mir was very near Lahore, the Lahore fort was allowed to be garrisoned purely by Sepoys. In the camp at Mian Mir, though the Sepoys outnumbered te English soldiers by four to one, the English officers had no suspicion about them until the new from Meerut arrived, and when the news did arrive they found it difficult to ascertain whether they were or were not secretly in communication with the Meerut Sepoys. At this time, the chief officer of the army of Lahore was one Robert Montgomery.","ఈ సమయంలో, లాహోర్ ప్రధాన సైన్యాధికారిగా ఒక రాబర్ట్ మోంట్‌గోమెరీ ఉన్నాడు."
"At this time, the greater part of the Punjab army was at Mian Mir. As the camp of Mian Mir was very near Lahore, the Lahore fort was allowed to be garrisoned purely by Sepoys. In the camp at Mian Mir, though the Sepoys outnumbered te English soldiers by four to one, the English officers had no suspicion about them until the new from Meerut arrived, and when the news did arrive they found it difficult to ascertain whether they were or were not secretly in communication with the Meerut Sepoys. At this time, the chief officer of the army of Lahore was one Robert Montgomery.","మియా మీర్ శిబిరం వద్ద, ఆంగ్లేయ సైనికులు ఒకరికి సిపాయిలు నలుగురి లెక్కన అధికంగా ఉన్నప్పటికీ, మీరట్ నుండి వార్త వచ్చేంత వరకు ఆంగ్ల అధికారులకు అనుమానమే రాలేదు, ఇక వార్త అందినప్పుడు వారు మీరట్ సిపాయిలతో రహస్య సంభాషణలు చేస్తున్నారో లేదో నిర్దారించుకోడం వారికి కష్టతరం అయ్యింది."
"Certain drugs serve no useful purpose; instead have adverse effects on the body. Drugs such as Marijuana, hallucinogens and tranquilisers which have an effect on the brain and drive the user into a make believe world of fantasy and provide false feelings of being free from problems. These are not only addictive but also have an adverse effect on the brain.","ఇవి వ్యసనాత్మకం మాత్రమే కాకుండా, మెదడు మీద కూడా ప్రతికూల ప్రభావం కలిగిస్తాయి."
"Day after day, new troops were coming in on both sides. The English forces, after frequent reinforcements from the Panjab had by this time, risen to the number of seven thousand. On the other side, the regiments of Rohilkhand who had risen in revolt had reached Delhi, with Bakht Khan at their head.","రోజు వెంట రోజు, ఇరువైపులా కొత్త సైన్యాలు వచ్చి చేరుతున్నాయి."
"He also said that he had no personal malice against the officers whom he shot. If there has been any personal malice, Mangal Pandays name would have been in the list of assassins and not of martyrs. But Mangal Pandays brave deed was done through devotion to a high and noble principle.","ఏదైనా వ్యక్తిగత పగ ఉండింటే, మంగళ్ పాండే పేరు అమరవీరుల జాబితాలో కాకుండా హంతకుల జాబితాలో ఉండేది."
"I saw the Manager and asked for a room. He eyed me for a moment, and politely saying, 'I am very sorry, we are full up', bade me good- bye. So I asked the cabman to drive to Muhammad Kasam Kamruddin's shop.","ఒక క్షణకాలం నన్ను చూసాడు, మర్యాదగా ""నన్నునిజంగా క్షమించండి, మా దగ్గర యే మాత్రం జాగా లేదు,"" అని నాకు వీడ్కోలు పలికాడు."
"In addition, we seem to have lost our aesthetic and civic sense, and carelessly litter garbage around on the roads, in the market-place, in open drains, ponds, rivers, seas, and so on. In fact, we keep throwing a lot of garbage everyday. Have you ever thought what will happen if the garbage is not removed from our homes and surroundings?","మన ఇళ్ళు, పరిసరాల నుండి చెత్తను తొలగించకపోతే ఏం జరుగుతుంది అనేదాని గురించి ఎప్పుడైనా ఆలోచించారా?"
"In recent years, the world around us has seen a lot of changes due to use of Digital Technologies. These changes have made a dramatic impact on our lives, making things more convenient, faster, and easier to handle. In the past, a letter would take days to reach, and every recipient would get his or her own copy and respond separately.","ఈ మధ్య కాలంలో, అంకాత్మక సాంకేతికతల వినియోగం కారణంగా మన చుట్టూ ఉన్న ప్రపంచం చాలా మార్పులను చూసింది."
"In recent years, the world around us has seen a lot of changes due to use of Digital Technologies. These changes have made a dramatic impact on our lives, making things more convenient, faster, and easier to handle. In the past, a letter would take days to reach, and every recipient would get his or her own copy and respond separately.","గతంలో,ఒక ఉత్తరం చేరడానికి రోజులు పట్టేది, అందుకునే ప్రతీ ఒక్కరూ అతడి లేక ఆమె తాలూకు సొంత ప్రతి అందేది, దానికి ప్రత్యేకంగా జవాబిచ్చే వారు."
"It is always due to some all-moving principle for which hundreds and thousands of men fight, before which thrones totter, crowns are destroyed and created, existing ideals are shattered and new ideals break forth, and for the sake of which vast masses of people think lightly of shedding sacred human blood. The moving spirits of revolutions are deemed holy or unholy in proportion as the principle underlying them is beneficial or wicked. As in private life, so also in history, the deeds of an individual or a nation are judged by the character of the motive.","విప్లవాలను నడిపే స్పూర్తులు, వాటి అంతర్లీన సూత్రం మేలైనదా లేదా దుష్టమైనదా అనే దాన్నిబట్టి నిష్పత్తి లో పవిత్రమైనవిగా లేక అపవిత్రమైనవిగా పరిగణిస్తారు."
"Kaba Gandhi married four times in succession, having lost his wife each time by death. He had two daughters by his first and second marriages. His last wife, Putlibai, bore him a daughter and three sons, I being the youngest.","ప్రతి ఒక్క సారి ఆయన భార్య చనిపోయి, దూరమవడంతో, కాబా గాంధీ వరుసగా నాలుగు సార్లు పెళ్లి చేసుకున్నాడు."
"Literature in different languages sustained the spirit of struggle for freedom from British rule. It became the social responsibility of the writers to write with a purpose of awakening people to ideas of justice, and freedom from slavery. Bankimchandra Chattopadhyaya (183894) brought out a magazine Bangadarshan to educate people on social and political issues of the time.","న్యాయం గురించి, బానిసత్వం నుండి విముక్తి గురించిన ఆలోచనలను ప్రజలలో మేల్కొలిపే ఉద్దేశ్యంతో రచనలు చేయడమనేది రచయితల సామాజిక బాధ్యతగా మారింది."
"Lord Dalhousie is described, by English historians, as one of the founders of the English Empire. This fact alone is sufficient to form an estimate of his capacity and character. In a country where unjust wars of conquest and oppression of foreign nationalities and races are universally popular, it is no wonder that those who have committed the greatest injustice and oppression are the most honoured.",అతని సామర్థ్యాన్ని మరియు స్వభావాన్ని అంచనా వేయడానికి ఈ ఒక్క వాస్తవం చాలు.
"Lord Robert says : The Rohilkhand army, having crossed the bridge of boats, began to enter the city through the Calcutta gate. We could clearly tee these thousands of Sepoys from the Ridge, entering the city with perfect discipline and drill playing martial tunes, and waving variegated flags and banners. The only force that was able to unite to some extent these different regiments in Delhi was that of love of the principle alone.","వేలాది మంది సిపాయిలు సంపూర్ణ క్రమశిక్షణ తో కవాతు చేసుకుంటూ సమరోచిత గీతాలు వాయిస్తూ, రంగురంగుల ధ్వజ పాతాకాలు ఊపుతూ ఆ శిఖరం నుండి నగరంలోకి ప్రవేశించడం మాకు స్పష్టంగా కనిపించింది."
"Nana Sahib and Tatia Tope were intimate friends from childhood. In childhood, these two were trained in the same school, fitted to perform the heroic deeds which they did in the great event of their later life. They had read the Ramayana and the Mahabharata together; they had read together the accounts of the war-like deeds of the Mahrattas, and their young hearts had throbbed together at the noble inspiration which the stories of Hindu heroism awoke.","వారు కలిసి రామాయణ, మహాభారతాలను చదివారు; వారు కలిసి మరాఠాల యుద్ద సంబంధ చర్యల వృత్తాంతాలను చదివారు, దాంతో హిందూ వీర గాథలు మేల్కొలిపే గొప్ప ప్రేరణతో వారి యువ హృదయాలు కలిసి పులకరించిపోయాయి."
"Non availability of adequate number of cloud free optical satellite datasets is a major constraint for using optical remote sensing data for agricultural applications during monsoon season. In light of this, all weather capability of RADAR, an active sensor, is an attractive option to rely upon. Microwave remote sensing techniques have all weather capability as atmosphere is transparent to microwaves at lower frequencies, penetrate clouds and are suitable for day/night operations owing to the independence of microwave sensors on Suns illumination.",తగిన సంఖ్యలో క్లౌడ్ ఫ్రీ దృశ్య అనుబంధ సమాచార సముదాయాల అలభ్యత అనేది వర్షాకాలంలో వ్యవసాయిక అప్లికేషన్ల కోసం ఆప్టికల్ సుదూర గ్రాహ్యత సమాచారాన్ని వినియోగించేందుకు ఒక పెద్ద అవరోధం.
Ransomware can get downloaded when the users visit any malicious or unsecure websites or download software from doubtful repositories. Some ransomware are sent as email attachments in spam mails. It can also reach our system when we click on a malicious advertisement on the Internet.,ఇంటర్నెట్‌లో ఏదైనా హానికరమైన ప్రకటనపై క్లిక్ చేస్తే అది మన సిస్టంలోకి కూడా చేరవచ్చు.
"Seeing his cave threatened, he rushed out of the lair at Chillianwalla and, with a terrible stroke of his paw, mauled the enemy and made him bleed. But, alas ! While the lion was standing at the mouth of the cave at Chillianwalla, a traitor broke open the back-wall at Guzerat and the lion was surprised and captured.","తన గుహ ప్రమాదంలో ఉండడం చూసి, అది గుహ నుండి బయటికి వచ్చి, తన పంజాతో భయంకరంగా కొట్టి శత్రువును గాయపరిచి, తనకు రక్తస్రావం అయ్యేలా చేసింది."
"The Revolutionaries of Sagar and of Gwalior and bands of volunteers came and joined him. Taking them with him, Nana marched to Bithoor and threatened to attack Cawnpore. General Neill had not enough troops to march against him and so sent word to Havelock of his critical position.","వారిని తన వెంట పెట్టుకొని, నానా బిత్తూర్‌కు కాలినడకన వెళ్లి, కాన్పూర్ మీద దాడి చేస్తామని బెదిరించాడు."
The Sheth and his clerks gathered round me. I told them all that I had gone through. They were very sorry to hear it and comforted me by relating to me their own bitter experiences.,షేత్ మరియు అతని గుమాస్తాలు నా చుట్టూ గుమిగూడారు.
"The West, while adopting the Greco-Roman tradition, abjured the Persian one. Post Xerxes, we have Artaxerxes, his son called Longimanus, so called because one hand was longer than the other. After him, came Xerxes II for a short while.","అతడి తరువాత, కొద్దికాలం కోసం రెండవ జెర్క్సీస్ వచ్చాడు."
"The brothers were deeply attached to each other. My uncle would sit near my father's bed the whole day, and would insist on sleeping by his bed side after sending us all to sleep. No one had dreamt that this was to be the fateful night.",అన్నదమ్ములకు ఒకరితో ఒకరికి ప్రగాఢమైన అనుబంధం ఉంది.
"The first thing was to invite the rulers of Rewa and Panna (an influential ruler in Bundelkhand) to Delhi for a discussion. I felt that if they agreed to the proposal, others could be persuaded to take the same line. Both these rulers came to Delhi on 20 November and I had several discussions with them.","వారు ఆ ప్రతిపాదనకు అంగీకరిస్తే, మిగతావారిని అలాగే చేసేందుకు ఒప్పించవచ్చని నాకనిపించింది."
"The most dynamic element of urban area is the various modes of transportation. Road patterns, its width and alignment can be directly identified and digitized from remote sensing data. A detailed feature/asset inventory of items like dividers, sidewalks, culverts, gutters etc can be prepared from high resolution imagery.",పట్టణ ప్రాంతంలో అత్యంత క్రియాశీలకమైన అంశం వివిధ రకాల రవాణా పద్ధతులు ఉండటం.
"The reason is that logging appends but installing overwrites. If an application violates this protocol by installing an update before logging it and then for some reason must abort, or the system crashes, there is no systematic way to discover the installed update and, if necessary, reverse it. The write-ahead-log protocol ensures that if a crash occurs, a recovery procedure can, by consulting the log, systematically find all completed and intended changes to cell storage and either restore those records to old values or set them to new values, as appropriate to the circumstance.","ఒకవేళ క్రాష్ సంభవిస్తే, తిరిగి పొందేందుకు ఒక విధానం, లాగ్ ను సంప్రదించి, పూర్తి చేయబడ్డ మరియు మార్పులు తలపెట్టబడిన సెల్ స్టోరేజీను క్రమబద్ధంగా వెతికి, అప్పటి స్థితికి అనుగుణంగా, అయితే ఆ నమోదులను పాత మూల్యాంకనాలతో పునర్లిఖించడం లేదా ఆ స్థానాలల్లో కొత్త మూల్యాంకనాలకు సర్దటం జరిగేలా రైట్-అహెడ్-లాగ్ ప్రోటోకాల్ చూసుకుంటుంది."
"The starting point is usually to employ a finer lock granularity: lock smaller objects, such as individual data records, individual pages of data records, or even fields within records. The trade-offs in gaining concurrency are first, that when there is more than one lock, more time is spent acquiring and releasing locks and second, cor rectness arguments become more complex. One hopes that the performance gain from concurrency exceeds the cost of acquiring and releasing the multiple locks.","అనుకూలతలు పొందడంలో రాజీ ఒప్పందాలలో మొదటివి, ఒక ప్రతిబంధకం కంటే ఎక్కువ ఉన్నచో, ఈ ప్రతిబంధకాలను స్వాధీనం చేసుకుని విడుదల చేయడంలో ఎక్కువ సమయం వెచ్చించబడడం జరుగుతుంది మరియు రెండవది, ప్రమాణత వివాదాలు మరింత జటిలమవుతాయి."
The students should be encouraged to ask questions if they have any doubt on the procedure of the first aid in swimming. If the swimming facility is available then the life saving technique of drowning can best be practised by doing. In the classroom or physical education laboratory the students may make use of dummies.,"ఈత ప్రాంగణం అందుబాటులో ఉన్నట్లయితే, మునిగిపోవడం తాలూకు ప్రాణ-రక్షణ విధాన సాధన చేయటానికి ఉత్తమం."
The students should be encouraged to ask questions if they have any doubt on the procedure of the first aid in swimming. If the swimming facility is available then the life saving technique of drowning can best be practised by doing. In the classroom or physical education laboratory the students may make use of dummies.,"ఈతకు సంబంధించిన ప్రథమ చికిత్సా విధానం గురించి ఆ విద్యార్థులకు ఏవైనా సందేహాలు ఉంటే, వారిని ప్రశ్నలు అడగమని ప్రోత్సహించాలి."
This Robert Mortgomery and Sir John Lawrence were both trained in the school of Dalhousie. They were gifted with rare coolness and courage and could preserve their presence of mind in the midst of the most unexpected difficulties. It was necessary to find out how far the spirit of national freedom had awakened among the Punjab Sepoys.,పంజాబ్ సిపాయిలలో జాతీయ స్వాతంత్ర్య స్పూర్తి ఎంత వరకు మేల్కోన్నదో తెలుసుకునే అవసరం ఉండింది.
"This sort of sublime forgiveness was not natural to my father. I had thought that he would be angry, say hard things, and strike his forehead. But he was so wonderfully peaceful, and I believe this was due to my clean confession.",ఇటువంటి మహోన్నత క్షమాగుణం మా నాన్నకు స్వాభావికమైనది కాదు.
"When the Sepoys revolted on the 31 st of May and went away, Lawrence formed a splendid regiment of Sikhs and another of the most loyal Hindusthanees. The remaining division of the old Sepoy army had rebelled before the 12 th of June. This revolt pleased Sir Henry in a way, for now he had with him a select and faithful army consisting of the English regiment and artillery and the two regiments of Sikhs and Hindusthanees, whose loyalty to the English had been proved by severe tests.","ఈ తిరుగుబాటు ఒక రకంగా సర్ హెన్రీని సంతోషపరచింది, ప్రస్తుతానికి అతడు ఆంగ్ల రెజిమెంట్, ఫిరంగి దళాలు, అనేక పరీక్షలలో ఆంగ్లేయుల పట్ల తమ విధేయతను నిరూపించుకున్న సిక్కులు మరియు హిందుస్థానీల రెండు రెజిమెంట్లతో కూడిన ఎంపిక చేసుకున్న, విశ్వాసపాత్రమైన సైన్యాన్ని తన వద్ద ఉంచుకొన్నాడు."
"You have earned your breakfast, British soldiers, by the sweat of your brow, not, by the free flow of blood from your bodies; so, enjoy your breakfast, with your commanders, in the cool shade of the mango groves! The rays of the morning sun are welcoming you, gay because of the great victory earned so lately. Arms were arranged all around, breakfast was ready, the hungry mouths were chewing the first morsel; the cups of drink were filled ready.","ఆయుధాలు చుట్టూత అమర్చబడ్డాయి, అల్పాహారం తయారయింది, ఆకలిగొన్న నోళ్ళు మొదటి ముద్దని నములుతున్నాయి; పానీయపు పాత్రలు తయారుగా నింపబడ్డాయి."
"You have earned your breakfast, British soldiers, by the sweat of your brow, not, by the free flow of blood from your bodies; so, enjoy your breakfast, with your commanders, in the cool shade of the mango groves! The rays of the morning sun are welcoming you, gay because of the great victory earned so lately. Arms were arranged all around, breakfast was ready, the hungry mouths were chewing the first morsel; the cups of drink were filled ready.","మీ నుదుటి చెమట చిందించి మీ అల్పాహారాన్ని మీరు సంపాదించుకున్నారు, బ్రిటిష్ సైనికులారా, మీ శరీరాల నుండి తేరగా ప్రవహించే రక్తంతో కాదు, కాబట్టి మీ సైన్యాధికారులతో, చల్లటి మామిడి తోటల నీడల్లో, మీ అల్పాహారాన్ని ఆస్వాదించండి."
"You must have seen seeds growing into seedlings, which then grow and develop into plants, or pups growing into dogs, kitten into cats and so on. Similarly an infant passes through different phases of growth from childhood to adolescence to adulthood. Although all the stages of growth and development are significant, it has been universally recognised that the stage of adolescence is the most critical one.","విత్తనాలు మొలకలుగా, ఆపై అవి పెరిగి మొక్కలుగా ఎదగడం లేదా కుక్కపిల్లలు కుక్కలుగా, పిల్లి పిల్లలు పిల్లులుగా ఎదగడం మొదలైనవి చూసింటారు."
"Young girls and boys often become target of sexual harassment/abuse by older and powerful people. As per the research, a person who is engaged in sexual abuse of young girls and/or boys is often known to them. Boys are equally vulnerable to sexual abuse.",అబ్బాయిలకు కూడా లైంగిక వేధింపులకు గురయ్యే అసహాయత సమానంగా ఉంది.
"andswhatdidraneebankadothen?shespenttherestofherlifeinloyaltytotheferinghi!whilethelightningwasworkingdestructionatjhansi,banka,seeingthathersonswerereadytounsheaththeirswordsofswaraj,threatenedthemthat,iftheydidunsheaththeirswords,shewouldherselfinformtheferinghisoftheirdesignsandadvisetheferinghistobeheadthem!","ఆ మెరుపు దాడి ఝాన్సీలో వినాశనాన్ని సృష్టిస్తుంటే, బాంకా తన కుమారులను స్వరాజ్యానికై కత్తులు దూసేందుకు సిద్ధంగా చూసి, వారు కనుక కత్తులు దూస్తే వారి పన్నాగాల గురించి తెల్లవారికి తనంతట తానే తెలియజేసి వారిని శిరచ్ఛేదనం చేయమని సలహా ఇస్తానని బెదిరించింది."
"Another popular genre starting in the silent era was the stunt film and the adventure action film. The film makers who were largely responsible for popularizing the stunt film were J.B.H Wadia and his brother Homi Wadia, of Wadia Movietone. They became the kings of this genre, starting with the railroad thriller TOOFAN MAIL (1932), which featured several fight sequences staged on the roof of a moving train.",స్టంట్ సినిమాని వ్యాప్తిలోకి రావడానికి చాలా వరకు బాధ్యత వహించిన చిత్రదర్శకులు వాడియా మూవీటోన్ కు చెందిన జేబిహెచ్ వాడియా మరియు ఆయన సోదరుడు హోమీ వాడియా.
"Another popular genre starting in the silent era was the stunt film and the adventure action film. The film makers who were largely responsible for popularizing the stunt film were J.B.H Wadia and his brother Homi Wadia, of Wadia Movietone. They became the kings of this genre, starting with the railroad thriller TOOFAN MAIL (1932), which featured several fight sequences staged on the roof of a moving train.","కదులుతున్న రైలు పైకప్పుపై తీసిన ఎన్నో పోరాట సన్నివేశాలు గల రైలుమార్గ ఉత్కంఠభరిత చిత్రం తూఫాన్ మెయిల్ (1932) తో మొదలుపెట్టి, వారు ఈ శైలికి రాజులయ్యారు."
"Assamese cinema is cinema in the Assamese language, watched primarily in Assam, India. The industry was born in 1935 when Jyoti Prasad Agarwala released his movie Joymoti. Since then Assamese cinema has developed a slow paced, sensitive style, especially with the movies of Bhabendra Nath Saikia and Jhanu Barua.","అస్సామీ సినిమా అనేది అస్సామీ భాషలో చలన చిత్రం, భారత్లోని అస్సాంలో ప్రధానంగా వీక్షింపబడుతుంది."
"Classic adaptations are less than transparent. They materialize the novel into something else and the result is a hybrid affair, a mixture of genres. More crucially, a temporal sleight of hand and thus intention occurs.",శాస్త్రీయ రూపాంతరణలు కొంత తక్కువ పారదర్శకంగా ఉంటాయి.
"Classic adaptations are less than transparent. They materialize the novel into something else and the result is a hybrid affair, a mixture of genres. More crucially, a temporal sleight of hand and thus intention occurs.","మరీ ముఖ్యంగా, చేతి యొక్క లౌకిక కపటోపాయము మరియు దీని వలన ఉద్దేశం వ్యక్తమవుతుంది."
"Classic adaptations are less than transparent. They materialize the novel into something else and the result is a hybrid affair, a mixture of genres. More crucially, a temporal sleight of hand and thus intention occurs.","అవి నవలని మరేదో రూపంలో సాకారపరుస్తాయి, ఫలితంగా ఒక సంక్లిష్టమైన వ్యవహారం, ఒక శైలుల మిశ్రమం అవుతుంది."
"FTII launched first-ever Online Film Appreciation Course from 15 th June 11 th July 2020. The 24-days long course covered Film Appreciation through Film Theory, Film Production Process, Genres of Cinema, and also faculties of Filmmaking. The course was organised in coordination with National Film Archives of India, Pune.","ఎఫ్టిటిఐ మొట్ట మొదటి ఆన్లైన్ ఫిల్మ్ ఆప్రీసియేషన్ కోర్సును , 15 జూన్ నుండి 11 జులై, 2020 వరకు ప్రవేశ పెట్టింది."
"FTII launched first-ever Online Film Appreciation Course from 15 th June 11 th July 2020. The 24-days long course covered Film Appreciation through Film Theory, Film Production Process, Genres of Cinema, and also faculties of Filmmaking. The course was organised in coordination with National Film Archives of India, Pune.",ఈ పాఠ్యక్రమం పూణే లోని నేషనల్ ఫిల్మ్ ఆర్కైవ్స్ ఆఫ్ ఇండియా సమన్వయంతో కూర్చబడింది.
"Fatma Begum has lived a life away from the arc lights for several years now, so when this first lady of Indian cinema, whos never given a media interview, agreed to speak to me on 3 May 2013, I promptly made my way to her once-impressive but now crumbling residence in Dhanraj Mahal, where she lives with her daughter Zubeida. Clad in an olive- green chiffon saree, Fatma looked every bit the begum Id imagined her to be. After supping on the best Hyderabadi kebabs and qubani ka meetha Ive ever had, we settled down on huge, heavily-cushioned sofa chairs, sipping chai, to have a chat about her life and films.","ఆలివ్ గ్రీన్ షిఫాన్ చీరలో, ఫాత్మా అక్షరాలా ఆమెను నేను బేగంగా ఊహించుకున్నట్టే కనిపించింది."
"Filmmaker Ashim Ahluwalia, a self-confessed hardcore fan of trash and sleaze, reminds us that C movies are a legitimate part of our filmic past. His article, an excerpt from a forthcoming book, offers a vivid picture of the subterranean world of exploitation cinema. Ahluwalia provocatively argues that C-grade cinemaand not our so-called art cinema or parallel cinemais the only truly experimental Indian film form.","తన వ్యాసం, రాబోయే తన పుస్తకం నుండి ఒక సంగ్రహం, శోషణ సినిమాల చీకటిరాజ్యం యొక్క స్పష్టమైన స్వరూపాన్ని చూపిస్తుంది."
"Full feature-length colour and sound cartoons came into their own with his Snow White and the Seven Dwarfs (1937) which won a special Oscar. In terms of animated dolls, arguably the most famous is the gorilla doll who is the eponymous hero of King Kong (Ernest B. Schoedask, 1933).",ప్రత్యేక ఆస్కార్ కైవసం చేసుకున్న అతని స్నో వైట్ అండ్ ద సెవెన్ డ్వార్ఫ్స్ (1937) తో పూర్తి నిడివిగల వర్ణ ధ్వనుల కార్టూన్ చిత్రాలు గుర్తింపు పొందటం ప్రారంభించాయి.
"He argues that the soundtrack was in essence a ritualistic celebration of traditional archetypes. The non-real soundsthose located outside the films visible frameperformed the function of real sounds; they signified the action, or more precisely, were intended to perform a representational function in part, but through a fetishised dislocation and amplification. There was dissatisfaction with the real.","సౌండ్ ట్రాక్ అనేది సారాంశరీత్యా, సాంప్రదాయిక మూలమూర్తుల ఆచార విధి ప్రకారమైన వేడుకగా ఉండేదని ఆయన వాదన."
"Indian animation has interested history . In 1912, Dadasaheb Phalke produced the first Indian animation movie , which was followed by a hiatus that lasted over 40 years. In 1956, the Films Division set up a cartoon film unit, where Clair Weeks, the veteran Disney animator , was invited to train students .","1912 లో, దాదాసాహెబ్ ఫాల్కే తొలి భారతీయ ఆనిమేషన్ చిత్రాన్ని నిర్మించారు, దాని తరువాత వచ్చిన విరామం 40 ఏళ్ల పైన కొనసాగింది."
"Indian animation has interested history . In 1912, Dadasaheb Phalke produced the first Indian animation movie , which was followed by a hiatus that lasted over 40 years. In 1956, the Films Division set up a cartoon film unit, where Clair Weeks, the veteran Disney animator , was invited to train students .","1956లో, చలనచిత్ర విభాగం ఒక కార్టూన్ చిత్రాల విభాగాన్ని స్థాపించింది, ఇక్కడికి అనుభవజ్ఞ్యుడైన డిస్నీ ఆనిమేటర్ క్లేర్ వీక్స్ విద్యార్థులకు శిక్షణనివ్వడానికి ఆహ్వానింపబడ్డారు."
"Indian cinema is world famous for the staggering amount of films it produces: the number is constantly on the increase, and recent sources estimate that a total output of some 800 films a year are made in different cities including Madrass , Bangalore , Calcutta and Hyderabad . Of this astonishing number, those films made in Bombay, in a seamless blend of Hindi and Urdu, have the widest distribution within India and Internationally. The two sister languages are spoken in six northern states and understood by over 500 million people on the Indian sub continent alone reason enough for Hindi and Urdu to be chosen above the fourteen official Indian languages to become the languages of Indian Popular cinema when sound came to the Indian Silver screen in 1931.","భారత చిత్ర పరిశ్రమ, అది నిర్మిస్తున్న సినిమాల భారీ సంఖ్యకు ప్రపంచవ్యాప్తంగా సుప్రసిద్ధం: ఈ సంఖ్య నిరంతరంగా పెరుగుతూనే ఉంది, అలాగే మద్రాసు, బెంగళూరు, కలకత్తా మరియు హైదరాబాదుతో సహా వివిధ నగరాల్లో మొత్తం మీద సుమారు 800 చిత్రాలు నిర్మింపబడతున్నాయని ఇటీవలి నివేదికలు అంచనా వేస్తున్నాయి"
"Indian cinema is world famous for the staggering amount of films it produces: the number is constantly on the increase, and recent sources estimate that a total output of some 800 films a year are made in different cities including Madrass , Bangalore , Calcutta and Hyderabad . Of this astonishing number, those films made in Bombay, in a seamless blend of Hindi and Urdu, have the widest distribution within India and Internationally. The two sister languages are spoken in six northern states and understood by over 500 million people on the Indian sub continent alone reason enough for Hindi and Urdu to be chosen above the fourteen official Indian languages to become the languages of Indian Popular cinema when sound came to the Indian Silver screen in 1931.",భారత ఉపఖండంలో ఈ ఇరు సహోదర భాషలు ఆరు ఉత్తరాది రాష్ట్రాలలో వాడుకలో ఉండి 50 కోట్ల మందికి పైగా అర్ధమవుతాయి అనేది 1931లో భారతీయ వెండితెరకి ధ్వని పరిచయమైనప్పుడు భారత ప్రజాదరణ పొందిన సినిమాకి పద్నాలుగు అధికారిక భారతీయ భాషలోకెల్లా హిందీ మరియు ఉర్దూను ఎంచుకోవడానికి తగినంత కారణం.
"Indian cinema never understood composite sound, says K. Hariharan, an award-winning filmmaker and teacher from Chennai. The rules of melodrama dominated the approach, and the sounds, from incidental to archetypal (crickets, koels, monsoon rains etc) primarily served the purpose of heightening the melodrama.","భారతీయ చిత్రసీమ సమ్మిళితమైన ధ్వనిని ఎన్నడూ అర్ధం చేసుకోలేదని, చెన్నైకి చెందిన పురస్కార విజేత అయిన ఒక చిత్రదర్శకుడు మరియు అధ్యాపకుడు కె. హరిహరన్ అంటారు."
"Indian cinema thus has more than a hundred years of history, like the European or American film industry. That first show was just a show of a series of visuals, moving scenes and nothing more, but it inaugurated a long line of movies made by talented Indians. Today India has the distinction of being the country that produces the highest number of feature films every year.","ఆ విధంగా భారతీయ చిత్ర పరిశ్రమ వందేళ్లకు పైగా చరిత్ర కలిగి ఉంది, ఐరోపా లేదా అమెరికా చిత్ర పరిశ్రమ మాదిరిగా."
