text,or_text
But I feel I must share with you what he has written most prominently,ଆପଣମାନଙ୍କଠାରୁ ମୋତେ ବହୁତ କିଛି ଜାଣିବାକୁ ମିଳୁଛି
"He says that when he received this reward, it struck him that a poor old woman had lost all her belongings because of a fire that broke out in her house","ମୁଁ ଅନୁଭବ କଲି ଯେ, ମୋତେ ମିଳିଥିବା ପୁରସ୍କାର ରାଶି ଉପରେ ସେହି ଗରିବ ବୁଢ଼ୀ ମା'ର ଅଧିକାର ରହିଛି"
He felt she had more a rightful claim on the reward he had got and gave away the thousand rupees to her,"ମୁଁ ଅନୁଭବ କଲି ଯେ, ମୋତେ ମିଳିଥିବା ପୁରସ୍କାର ରାଶି ଉପରେ ସେହି ଗରିବ ବୁଢ଼ୀ ମା'ର ଅଧିକାର ରହିଛି"
"And he derived a lot of Santosh, that is, satisfaction through his deed",ସନ୍ତୋଷଜୀ ଆପଣଙ୍କ ନାମ ଏବଂ ଆପଣଙ୍କ କାମ ଆମ ସମସ୍ତଙ୍କୁ ସନ୍ତୋଷ ପ୍ରଦାନ କରୁଛି
"Santosh Ji, your name and your deed both are sources of SANTOSH, satisfaction for all of us",ସନ୍ତୋଷଜୀ ଆପଣଙ୍କ ନାମ ଏବଂ ଆପଣଙ୍କ କାମ ଆମ ସମସ୍ତଙ୍କୁ ସନ୍ତୋଷ ପ୍ରଦାନ କରୁଛି
You have done something that is exemplary and inspiring,ଆପଣ ଗୋଟିଏ ବହୁତ ବଡ଼ ପ୍ରେରଣାଦାୟୀ କାମ କରିଛନ୍ତି
A 22year old cab driver brother Sabir from Delhi adopted the digital mode in his transactions after demonetisation and went on to win a prize of one lakh rupees under the 'Lucky Grahak Yojana' of the Government,ବିମୁଦ୍ରୀକରଣ ପରେ ସେ ତ ଏବେ ଡିଜିଟାଲ କାରବାର ଆରମ୍ଭ କରିଦେଇଛନ୍ତି ଆଉ ସରକାରଙ୍କ ଲକି ଗ୍ରାହକ ଯୋଜନାରେ ତାଙ୍କୁ ଏକ ଲକ୍ଷ ଟଙ୍କାର ପୁରସ୍କାର ବି ମିଳିଯାଇଛି
"Though he continues to be a driver, in a way, he has now become an ambassador for this scheme",ସେ ଏବେ କାର ଚଳାଉଛନ୍ତି ହେଲେ ଗୋଟିଏ ଦୃଷ୍ଟିରୁ ସେ ଏହି ଯୋଜନାର ଆମ୍ବାସଡ଼ର ହେଇଯାଇଛନ୍ତି
He keeps imparting knowledge about digital usage to his passengers all the time,ସମସ୍ତ ଯାତ୍ରୀଙ୍କୁ ସେ ସବୁବେଳେ ଡିଜିଟାଲ କାରବାରର କୌଶଳ ଶିଖାଉଛନ୍ତି
He is extremely enthusiastic and motivates others also to go digital,ବଡ଼ ଉତ୍ସାହର ସହିତ ବୁଝାଉଛନ୍ତି ଆଉ ପ୍ରୋତ୍ସାହିତ କରୁଛନ୍ତି
One young postgraduate student Pooja Nemade from Maharashtra keeps sharing her experience with friends about how her family members are using RuPay Card and ewallet facilities and deriving enjoyment out of it and also as to how important the prize of rupees one lakh is for her,"ମହାରାଷ୍ଟ୍ରର ଜଣେ ଯୁବ ସାଥୀ ପୂଜା ନେମାଡ଼େ, ଜଣେ ସ୍ନାତକୋତ୍ତର ଛାତ୍ରୀ, ସେ ମଧ୍ୟ ନିଜ ପରିବାରରେ ରୁପେ କାର୍ଡ, ଇୱାଲେଟ୍‌ ଆଦିର ପ୍ରୟୋଗ କେମିତି ହେଉଛି ଆଉ ୟା'ଦ୍ୱାରା କେତେ ଆନନ୍ଦ ମିଳୁଛି ସେ ବିଷୟରେ ନିଜର ଅନୁଭୂତି ସମସ୍ତଙ୍କୁ ଜଣାଉଛନ୍ତି"
She has taken up this in a mission mode and is bringing others into its fold,ସେମାନେ ପାଦ ସହିତ ପାଦ ମିଳାଇ ଆଗେଇ ଚାଲିଛନ୍ତି ଏବଂ ଦେଶ ପାଇଁ ସୁନାମ ଅର୍ଜନ କରୁଛନ୍ତି
"I urge my countrymen, especially the youth of our country and those who have won prizes under 'Lucky Grahak Yojana' or 'DigiDhan Vyapar Yojana' to become ambassadors of these schemes on their own","ମୁଁ ଦେଶବାସୀମାନଙ୍କୁ, ବିଶେଷ କରି ଦେଶର ଯୁବପିଢ଼ିକୁ ଆଉ ଏହି ଲକି ଗ୍ରାହକ ଯୋଜନା, ଡିଜିଧନ ବ୍ୟବସାୟ ଯୋଜନାରେ ଯେଉଁମାନେ ପୁରସ୍କାର ପାଇଛନ୍ତି ସେମାନଙ୍କୁ ଅନୁରୋଧ କରୁଛି କି ଆପଣ ନିଜେ ଏହାର ରାଷ୍ଟ୍ରଦୂତ ବା ଆମ୍ବାସଡର ହୁଅନ୍ତୁ, ଏହି ଆନ୍ଦୋଳନର ନେତୃତ୍ୱ ନିଅନ୍ତୁ"
Lead this movement,ସମଗ୍ର ଆନ୍ଦୋଳନ ଏକ ଜନ ଆନ୍ଦୋଳନରେ ରୂପାନ୍ତରିତ ହୋଇଛି
Take it further as it has a very major and prominent role in the fight against corruption and black money,ଭ୍ରଷ୍ଟାଚାର ଏବଂ କଳାଧନ ବିରୁଦ୍ଧରେ ଲଢ଼େଇ କ୍ଷେତ୍ରରେ ଏ କାମର ମହତ୍ୱପୂର୍ଣ୍ଣ ଭୂମିକା ରହିଛି
"To me, each and every individual involved in this mission constitute a new anticorruption cadre in the country",ମୋ ବିଚାରରେ ଏହି କାମରେ ଯୋଗଦେଇଥିବା ପ୍ରତ୍ୟେକ ବ୍ୟକ୍ତି ଦେଶର ଜଣେ ଦୁର୍ନୀତି ନିବାରଣ କର୍ମୀ
In a way you are a soldier in the cause of cleanliness and purity,ଆପଣ ଏକ ପ୍ରକାର ପବିତ୍ରତାର ବାର୍ତ୍ତାବହ
"You know that this scheme will complete its 100 days on 14th April, the birth anniversary of Dr","ଆପଣ ଜାଣିଛନ୍ତି ଯେ ଯେଉଁଦିନ ଏହି ଲକି ଗ୍ରାହକ ଯୋଜନାର ଶହେ ଦିନ ପୂର୍ଣ୍ଣହେବ ଅର୍ଥାତ୍ 14 ଅପ୍ରେଲ ଡଃ ବାବାସାହେବ ଆମ୍ବେଦକରଙ୍କ ଜନ୍ମ ଜୟନ୍ତୀ ଉତ୍ସବ, ଗୋଟିଏ ସ୍ମରଣୀୟ ଦିନ"
"Babasaheb Ambedkar, a truly memorable day",ବାବାସାହେବ ଆମ୍ବେଦକରଙ୍କ ସ୍ମୃତିରେ ଆପଣ ଗୋଟିଏ କାମ କରିପାରିବେ? ଏହି କିଛିଦିନ ତଳେ ବାବାସାହେବ ଆମ୍ବେଦକରଙ୍କ 125ତମ ଜନ୍ମଦିନ ପାଳିତ ହୋଇଯାଇଛି
There is going to be a very big draw of prizes worth crores of rupees on 14th April,ଅପ୍ରେଲ 14 ତାରିଖରେ କୋଟି କୋଟି ଟଙ୍କାର ବଡ଼ ପୁରସ୍କାର ଉଠାଣ କରାଯିବ
There are still about 4045 days left for that,ଏବେ ପ୍ରାୟ ଆଉ 40/45 ଦିନ ରହିଲା
Can you do one thing in the memory of Babasaheb Ambedkar,ବାବାସାହେବ ଆମ୍ବେଦକରଙ୍କ ସ୍ମୃତିରେ ଆପଣ ଗୋଟିଏ କାମ କରିପାରିବେ? ଏହି କିଛିଦିନ ତଳେ ବାବାସାହେବ ଆମ୍ବେଦକରଙ୍କ 125ତମ ଜନ୍ମଦିନ ପାଳିତ ହୋଇଯାଇଛି
We have recently celebrated 125th birth anniversary of Baba Saheb Ambedkar,ବାବାସାହେବ ଆମ୍ବେଦକରଙ୍କ ସ୍ମୃତିରେ ଆପଣ ଗୋଟିଏ କାମ କରିପାରିବେ? ଏହି କିଛିଦିନ ତଳେ ବାବାସାହେବ ଆମ୍ବେଦକରଙ୍କ 125ତମ ଜନ୍ମଦିନ ପାଳିତ ହୋଇଯାଇଛି
"Remembering him, you teach at least 125 persons about downloading the BHIM App",ସେଇ ସ୍ମୃତିରେ ଆପଣ ବି ଅତି କମ୍ ରେ 125 ଜଣ ଲୋକଙ୍କୁ ଭିମ୍‌ App ଡାଉନଲୋଡ କରିବା ଶିଖାନ୍ତୁ
Also teach them about the procedure of making transactions through this App; teach this specially to small traders in your neighbourhood,"ୟା'ଦ୍ୱାରା ନେଣଦେଣ କେମିତି ହୋଇପାରୁଛି, ସେ କଥା ଶିଖାନ୍ତୁ, ବିଶେଷକରି ଆପଣଙ୍କ ପାଖାପାଖି ଥିବା ଛୋଟ ଛୋଟ ବ୍ୟବସାୟୀମାନଙ୍କୁ ଶିଖାନ୍ତୁ"
Give special importance to Baba Saheb Ambedkar's birth anniversary this time and the BHIM App,ଏ ବର୍ଷର ଆମ୍ବେଦକର ଜୟନ୍ତୀ ଏବଂ ଭିମ୍‌ App କୁ ବିଶେଷ ଗୁରୁତ୍ୱ ଦିଅନ୍ତୁ
"For this, I would like to say that we have to strengthen the foundation laid by Dr",ତେଣୁ ମୋର କହିବାର କଥା ଯେ ବାବାସାହେବ ଆମ୍ବେଦକର ଯେଉଁ ମୂଳଦୁଆ ପକାଇଛନ୍ତି ତାକୁ ମଜଭୁତ କରିବାକୁ ହେବ
Baba Saheb,ଫୁଲ ଫୁଟେ
We have to go from door to door associating everybody in order to place the BHIM App in 125 crore hands,ଘର ଘର ଯାଇ ଦେଶର 125 କୋଟି ଲୋକଙ୍କ ନିକଟରେ ଭିମ୍‌ App କୁ ପହଂଚାଇବାକୁ ପଡ଼ିବ
"Since its beginning about twothree months ago, this movement has had a clear impact and has been a very big success in many townships, villages and cities","ଗତ ଦୁଇ ତିନି ମାସ ଧରି ଏ ଯେଉଁ ଆନ୍ଦୋଳନ ଚାଲିଛି ତାର ପ୍ରଭାବରେ ଅନେକ ଟାଉନ, ଅନେକ ଗାଁ ଆଉ ଅନେକ ସହରରେ ବହୁତ ସଫଳତା ମିଳିଛି"
"My dear countrymen, agriculture makes a very major contribution to the fundamentals of our country's economy","ମୋର ପ୍ରିୟ ଦେଶବାସୀ, ଆମ ଦେଶର ଅର୍ଥ ବ୍ୟବସ୍ଥାରେ କୃଷିର ବହୁତ ଅବଦାନ ଅଛି"
Economic prowess of villages imparts momentum to the nation's economic progress,ଗାଁର ଆର୍ଥିକ ଶକ୍ତି ଦେଶର ଆର୍ଥିକ ବିକାଶକୁ ଶକ୍ତି ପ୍ରଦାନ କରେ
I wish to share a very happy news with you today,ମୁଁ ଏହାକୁ ଏକ ଶୁଭ ସଂକେତ ମନେ କରୁଛି
Our farmer brothers and sisters have toiled hard to fill our granaries,ଆମ କୃଷକ ଭାଇଭଉଣୀମାନେ ଏ ବର୍ଷ ରେକର୍ଡ ପରିମାଣର ଖାଦ୍ୟଶସ୍ୟ ଉତ୍ପାଦନ କରିଛନ୍ତି
The hard work of the farmers has resulted in a record production of food grains,ଆମ କୃଷକ ଭାଇଭଉଣୀମାନେ ଏ ବର୍ଷ ରେକର୍ଡ ପରିମାଣର ଖାଦ୍ୟଶସ୍ୟ ଉତ୍ପାଦନ କରିଛନ୍ତି
All signals indicate that our farmers have broken all previous records,ସମସ୍ତ ସୂଚନାରୁ ଜଣାପଡ଼ୁଛି ଯେ ଆମର କୃଷକମାନେ ଏ ବର୍ଷ ସମସ୍ତ ପୁରୁଣା ରେକର୍ଡ ଭାଙ୍ଗିଦେଇଛନ୍ତି
There has been such bountiful crop this time in the fields of our farmers that every day has appeared to be a celebration of Pongal and Baisakhi,ଏଥର କ୍ଷେତରେ ଫସଲ ଏମିତି ହୋଇଛି ଯେ ପ୍ରତିଦିନ ଲାଗୁଛି ଯେମିତି ପୋଙ୍ଗଲ ଆଉ ବୈଶାଖୀ ଆଜି ହିଁ ପାଳନ କରୁଛୁ
More than two thousand seven hundred lakh tonnes of food grains have been produced in the country this year,ଏ ବର୍ଷ କ୍ଷେତରେ ପ୍ରାୟ ଦୁଇ ହଜାର ସାତ ଶହ ଲକ୍ଷ ଟନ୍ ରୁ ବେଶୀ ଖାଦ୍ୟଶସ୍ୟ ଉତ୍ପାଦନ ହୋଇଛି
This is 8 percent more than the last record set up by our farmers,ଆମ କୃଷକମାନଙ୍କର ସର୍ବଶେଷ ରେକର୍ଡ ଯାହା ଅଛି ତା'ଠାରୁ ବି ଆଠ ପ୍ରତିଶତ ଅଧିକ ଉତ୍ପାଦନ ହୋଇଛି
"Thus, it is an unprecedented achievement in itself",ଏହା ବାସ୍ତବରେ ଏକ ଅଭୂତପୂର୍ବ ସିଦ୍ଧି ସଫଳତା
I want to specially thank the farmers of the country,ମୁଁ ଦେଶର କୃଷକ ଭାଇ ଭଉଣୀମାନଙ୍କୁ ବିଶେଷ ଧନ୍ୟବାଦ ଦେବାକୁ ଚାହେଁ ଦେଉଛି
I also want to thank our farmers for keeping the poor in mind and adopting cultivation of various pulse crops also besides the traditional crops because pulses are the biggest source of protein for poor people,କୃଷକମାନଙ୍କୁ ଧନ୍ୟବାଦ ଦେବାକୁ ଚାହେଁ ଯେ ସେମାନେ ପରମ୍ପରାଗତ ଫସଲ ସହିତ ଦେଶର ଗରିବ ଲୋକଙ୍କୁ ଦୃଷ୍ଟିରେ ରଖି ବିଭିନ୍ନ ଡାଲିଜାତୀୟ ଫସଲ ଚାଷ ମଧ୍ୟ କରିଛନ୍ତି
I am happy that the farmers of my country heeded the needs of our poor people and cultivated various pulse crops on about 290 lakh hectare land,ବହୁତ ଖୁସିର କଥା ମୋ ଦେଶର କୃଷକମାନେ ଗରିବର ଡାକ ଶୁଣିଲେ ଏବଂ ପ୍ରାୟ ଦୁଇଶହ ନବେ ଲକ୍ଷ ହେକ୍ଟର ଜମିରେ ବିଭିନ୍ନ ଡାଲି ଜାତୀୟ ଫସଲର ଚାଷ କଲେ
This is not merely the production of pulses but a yeoman service rendered by the farmers to the poor of my country,"ଏହା ଖାଲି ଡାଲି ଉତ୍ପାଦନ ନୁହେଁ, ମୋ ଦେଶର ଗରିବମାନଙ୍କର ସବୁଠାରୁ ବଡ଼ ସେବା"
"My farmer brothers and sisters deserve special gratitude for the way they wholeheartedly accepted my request, my prayer and put in their hard labour to get a record production of pulses","ମୋର ଗୋଟିଏ ପ୍ରାର୍ଥନା, ଗୋଟିଏ ବିନତିକୁ ମୋ ଦେଶର କୃଷକମାନେ ଯେପରି ସର୍ବାଧିକ ଗୁରୁତ୍ୱ ଦେଇ ପରିଶ୍ରମ କଲେ ଏବଂ ରେକର୍ଡ ପରିମାଣର ଡାଲି ଉତ୍ପାଦନ କଲେ, ସେଥିପାଇଁ ମୋର କୃଷକ ଭାଇଭଉଣୀମାନେ ବିଶେଷ ଧନ୍ୟବାଦର ଅଧିକାରୀ"
"My dear countrymen, the government, society, institutions, organizations, in fact everyone, is making some or the other effort towards greater cleanliness","ମୋର ପ୍ରିୟ ଦେଶବାସୀ, ଆମ ଦେଶରେ ସରକାରଙ୍କ ଦ୍ୱାରା, ସମାଜ ଦ୍ୱାରା, ସଂଗଠନମାନଙ୍କ ଦ୍ୱାରା, ପ୍ରତ୍ୟେକଙ୍କ ଦ୍ୱାରା ସ୍ୱଚ୍ଛତା ଦିଗରେ କିଛି ନା କିଛି କାମ ଚାଲିଛି"
"In a way, everyone is seen working towards the cause of cleanliness in a conscious manner",ସମସ୍ତେ କିଛି ନା କିଛି ଉପାୟରେ ସ୍ୱଚ୍ଛତା ପ୍ରତି ସଚେତନ ବ୍ୟବହାର କରିବାର ଦେଖିବାକୁ ମିଳୁଛି
The government is continuously making efforts in this regard,ସରକାର ଏ ଦିଗରେ ନିରନ୍ତର ଚେଷ୍ଟା କରୁଛନ୍ତି
"Recently, an event was organised in Telengana under the leadership of the Secretary of our Ministry of Water and Sanitation of the Government of India, in which senior officers from 23 state governments participated",ଗତ କିଛିଦିନ ତଳେ ଭାରତ ସରକାରଙ୍କର ପାନୀୟ ଜଳ ଏବଂ ସ୍ୱଚ୍ଛତା ମନ୍ତ୍ରଣାଳୟ ଦ୍ୱାରା ତେଲଙ୍ଗାନାରେ 23ଟି ରାଜ୍ୟର ସରକାରୀ ଅଧିକାରୀମାନଙ୍କର ଏକ କାର୍ଯ୍ୟକ୍ରମ ଆୟୋଜିତ ହୋଇଥିଲା
"And, this was not confined to having just a closed door seminar, but the importance of cleanliness was practically demonstrated at Warangal in Telangana","ତେଲଙ୍ଗାନା ରାଜ୍ୟର ୱାରାଙ୍ଗଲ୍ ରେ, ଏହା ଖାଲି ବନ୍ଦ କୋଠରୀରେ ଆୟୋଜିତ ହୋଇନଥିଲା ବରଂ ପ୍ରତ୍ୟକ୍ଷ ସ୍ୱଚ୍ଛତାର କାମକୁ ପ୍ରାୟୋଗିକ ଦୃଷ୍ଟିରୁ କରାଯାଇଥିଲା"
Toilet pit emptying exercise was carried out in Hyderabad on 17th and 18th February,17 ଓ 18 ଫେବୃୟାରୀରେ ହାଇଦ୍ରାବାଦରେ ପାଇଖାନା ଟାଙ୍କି ସଫେଇ କାର୍ଯ୍ୟ ଟଏଲେଟ୍‌ ପିଟ୍‌ ଏମ୍ପଟିଂ ଏକ୍ସରସାଇଜ୍‌ କାର୍ଯ୍ୟକ୍ରମ ଆୟୋଜିତ ହେଲା ଯେଉଁଥିରେ ଛଅଟି ଘରର ପାଇଖାନା ଟାଙ୍କିକୁ ଖାଲିକରି ତାର ସଫେଇ କରାଗଲା
Toilet pits in six houses were emptied and cleaned and the officers personally demonstrated that the used up pits of twin pit toilet can be emptied and then reused,17 ଓ 18 ଫେବୃୟାରୀରେ ହାଇଦ୍ରାବାଦରେ ପାଇଖାନା ଟାଙ୍କି ସଫେଇ କାର୍ଯ୍ୟ ଟଏଲେଟ୍‌ ପିଟ୍‌ ଏମ୍ପଟିଂ ଏକ୍ସରସାଇଜ୍‌ କାର୍ଯ୍ୟକ୍ରମ ଆୟୋଜିତ ହେଲା ଯେଉଁଥିରେ ଛଅଟି ଘରର ପାଇଖାନା ଟାଙ୍କିକୁ ଖାଲିକରି ତାର ସଫେଇ କରାଗଲା
They also displayed as to how convenient these new technique toilets are and there is absolutely no inconvenience or hesitation in emptying or cleaning these toilets and even the psychological barrier does not come in the way at all,"ଅଧିକାରୀମାନେ ନିଜେ କାମକରି ଦେଖାଇଲେ ଯେ ଦୁଇ ଟାଙ୍କି ବିଶିଷ୍ଟ ପାଇଖାନାରେ ବ୍ୟବହୃତ ଖାତକୁ ଖାଲି କରି ପୁଣି ଉପଯୋଗ କରାଯାଇପାରେ, ଏହି ନୂତନ ଜ୍ଞାନକୌଶଳରେ ନିର୍ମିତ ଏ ଶୌଚାଳୟ କେତେ ସୁବିଧାଜନକ ଆଉ ୟା'କୁ ଖାଲି କରିବାରେ କୌଣସି ଅସୁବିଧା ଅନୁଭୂତ ହୁଏନି, କୌଣସି ପ୍ରକାର ସଂକୋଚ ମଧ୍ୟ ଲାଗେନି"
"And, we can ourselves clean these toilet pits just as we do other general cleaning",ଆମେ ଅନ୍ୟ ସଫେଇ କାମ ମଧ୍ୟ କରୁ ସେହିପରି ଆମେ ପାଇଖାନା ଟାଙ୍କି ମଧ୍ୟ ସଫା କରିପାରିବା
"And, this exercise showed results, media in the country gave it wide publicity and highlighted its importance","ଆଉ ଏହି ପ୍ରଚେଷ୍ଟାର ଫଳ ବି ମିଳିଲା, ଦେଶର ମିଡିଆମାନେ ଏହାର ବହୁଳ ପ୍ରଚାର ପ୍ରସାର କଲେ, ଗୁରୁତ୍ୱ ବି ଦେଲେ"
"And it is quite natural also because when people see an IAS officer cleaning a toilet pit himself, the fact is naturally noticed by the country","ସ୍ୱାଭାବିକ କଥା ଯଦି ଜଣେ ଆଇଏଏସ୍‌ ଅଫିସର ପାଇଖାନା ଟାଙ୍କି ସଫା କରୁଛି, ଦେଶର ଧ୍ୟାନ ଆକର୍ଷିତ ହେବା ତ ସ୍ୱାଭାବିକ"
"And we consider the waste taken out from a toilet pit as sheer useless garbage but if considered from the angle of its use as a fertiliser, this, in a way, is black gold","ଆଉ ଏ ଯେଉଁ ପାଇଖାନା ଟାଙ୍କି ସଫାହୁଏ ସେଥିରୁ ଯାହା ବାହାରେ, ଆମେ ଆବର୍ଜନା ବୋଲି କହୁ କିନ୍ତୁ ଯଦି ଖତସାର ଭାବରେ ଦେଖିବା ତାହା ଏକ ପ୍ରକାରର କଳା ସୁନା"
We can clearly see the conversion of waste to wealth,ବର୍ଜ୍ୟ ରୁ ସମ୍ପଦ କେମିତି ହୁଏ ତାହା ଆମେ ଜାଣିପାରିବା ଏବଂ ତାହା ପ୍ରମାଣିତ ହୋଇସାରିଛି
This has been proved too,ସେମାନଙ୍କୁ ଏହାର ଲାଭ ମଧ୍ୟ ମିଳୁଛି
"For a family of six members, the model of one standard Twin Pit Toilet gets filled in about five years",ଛଅଜଣ ସଦସ୍ୟ ଥିବା ପରିବାର ପାଇଁ ଗୋଟିଏ ସ୍ଵାଭାବିକ ଦୁଇ ଟାଙ୍କି ବିଶିଷ୍ଟ ପାଇଖାନା
After that the waste can easily be redirected to the other pit,ତା'ପରେ ଆବର୍ଜ୍ଜନାକୁ ସହଜରେ ସଫାକରି ଆଉଗୋଟେ ଖାତରେ ପିଟ୍‌ କୁ ଛାଡିଦିଆଯାଏ
This waste deposited in the pit gets completely decomposed in six to twelve months time,ଛଅମାସରୁ 12 ମାସ ମଧ୍ୟରେ ଏହି ଆବର୍ଜ୍ଜନା ସମ୍ପୂର୍ଣ୍ଣ ବିଘଟିତ ଡିକମ୍ପୋଜ ହୋଇଯାଏ
This decomposed waste can be safely handled quite conveniently and can be used as 'NPK' which is a very useful fertilizer,ଏହି ବିଘଟିତ ଆବର୍ଜ୍ଜନାକୁ ପରିଚାଳିତ କରିବା ବହୁତ ସୁରକ୍ଷିତ ହୋଇଥାଏ ଏବଂ ସାର ବା ଖତ ଦୃଷ୍ଟିରୁ ଏହା ଅତ୍ୟନ୍ତ ମହତ୍ୱପୂର୍ଣ୍ଣ ଏନପିକେ ସାର ପାଲଟିଯାଏ
Our farmers know 'NPK' very well,"କୃଷକମାନେ ଏନପିକେ ସହ ଭଲଭାବରେ ପରିଚିତ ନାଇଟ୍ରୋଜେନ୍‌, ଫସଫରସ୍‌, ପୋଟାସିୟମ୍‌"
"It contains nutritious elements Nitrogen, Phosphorous and Potassium in abundance and is considered a fertiliser of very good quality in the agriculture sector",ଏହା ପୋଷକ ତତ୍ତ୍ଵରେ ପରିପୂର୍ଣ୍ଣ ତଥା କୃଷିକ୍ଷେତ୍ର ପାଇଁ ବହୁତ ଉପଯୋଗୀ ହୋଇଥାଏ
Others must also have experimented with initiatives similar to those undertaken by the Government,ଆପଣମାନେ ମଧ୍ୟ ସକ୍ରିୟ ଭାବେ ଅଂଶଗ୍ରହଣ କରୁଛନ୍ତି
"Now Doordarshan is broadcasting a special programme of 'Swachchhta Samachar', that is 'Cleanliness News'","ଯେଉଁଭଳି ଭାବେ ସରକାର ପଦକ୍ଷେପ ନେଉଛନ୍ତି, ଅନ୍ୟମାନେ ବି କିଛି ପଦକ୍ଷେପ ନେଉଥିବେ, ଆଉ ଏବେ ତ ଦୂରଦର୍ଶନରେ ସ୍ୱଚ୍ଛତା ସମାଚାର ନାମରେ ଏକ ବିଶେଷ କାର୍ଯ୍ୟକ୍ରମ ପ୍ରସାରିତ ହେଉଛି"
Highlighting such things in this programme will be very beneficial,ସେଥିରେ ଏହିଭଳି କଥାଗୁଡ଼ିକ ଯେତେ ରୋଚକ ଢଙ୍ଗରେ ପ୍ରଚାର କରାଯିବ ସେତେ ଲାଭ ମିଳିବ
Various government departments regularly observe Cleanliness Fortnight,ସରକାରଙ୍କ ବିଭିନ୍ନ ବିଭାଗମାନେ ମଧ୍ୟ ନିୟମିତ ସ୍ୱଚ୍ଛତା ପକ୍ଷର ଆୟୋଜନ କରୁଛନ୍ତି
"During the first fortnight of March, Women and Child Development Ministry along with the Ministry of Tribal Affairs will be laying stress on the Cleanliness Campaign",ମାର୍ଚ୍ଚ ମାସର ପ୍ରଥମ ପକ୍ଷରେ ମହିଳା ଏବଂ ଶିଶୁ କଲ୍ୟାଣ ବିଭାଗ ଏବଂ ଜନଜାତି ବିକାଶ ମନ୍ତ୍ରଣାଳୟ ଦ୍ୱାରା ସ୍ୱଚ୍ଛତା ଅଭିଯାନ ଉପରେ ଗୁରୁତ୍ୱ ଦିଆଯିବ
"And two other ministries, the Ministry of Shipping and the Ministry of Water Resources, River Development and Ganga Rejuvenation will take the Cleanliness Campaign forward during the last two weeks of March","ମାର୍ଚ୍ଚ ମାସର ଦ୍ୱିତୀୟ ପକ୍ଷରେ ଆଉ ଦୁଇଟି ବିଭାଗ ଜାହାଜ ଚଳାଚଳ ମନ୍ତ୍ରଣାଳୟ ଏବଂ ଜଳସମ୍ପଦ, ନଦୀ ବିକାଶ ଓ ଗଙ୍ଗା ସଂରକ୍ଷଣ ମନ୍ତ୍ରଣାଳୟ ମଧ୍ୟ ସ୍ୱଚ୍ଛତା ଅଭିଯାନ ଆୟୋଜନ କରିବେ"
"We know that whenever an Indian achieves something notable, the whole country feels a new energy and the selfconfidence gets a boost","ଆମେ ଜାଣୁ ଯେ ଆମ ଦେଶର କୌଣସି ନାଗରିକ ଯେତେବେଳେ କିଛି ଭଲ କାମ କରେ, ସେତେବେଳେ ସମଗ୍ର ଦେଶ ଏକ ନୂତନ ଶକ୍ତିର ଅନୁଭବ କରେ, ଦେଶର ଆତ୍ମବିଶ୍ୱାସ ବଢ଼ିଯାଏ"
We all hailed the commendable performance by our Divyang Players at Rio Paralympics,ରିଓ ପାରାଅଲିମ୍ପିକରେ ଆମ ଦେଶର ଦିବ୍ୟାଙ୍ଗମାନେ ଯେଉଁ ପ୍ରଦର୍ଶନ କଲେ ଆମେ ସମସ୍ତେ ତାଙ୍କୁ ସ୍ୱାଗତ କରିଛୁ
India defeated Pakistan in the final of the Blind T20 World Cup held earlier this month to become World Champions for the second consecutive time and thus raised our national prestige to a new height,ଏହି ମାସରେ ଆୟୋଜିତ ଦୃଷ୍ଟିହୀନ Under20 ବିଶ୍ୱକପ କ୍ରିକେଟ ଫାଇନାଲରେ ପାକିସ୍ତାନକୁ ହରାଇ ଭାରତ ଲଗାତାର ଦ୍ଵିତୀୟ ଥର ବିଶ୍ୱ ଚମ୍ପିଆନ ହୋଇ ଦେଶର ଗୌରବ ବଢ଼ାଇଲା
I once again congratulate all players of our team,ମୁଁ ପୁଣିଥରେ ଦଳର ସମସ୍ତ ଖେଳାଳିମାନଙ୍କୁ ଅଭିନନ୍ଦନ ଜଣାଉଛି
The country is really proud of these Divyang friends for their achievement,ଆମ ଦିବ୍ୟାଙ୍ଗ ସାଥୀମାନଙ୍କର ଏହି ଉପଲବଧି ପାଇଁ ଦେଶ ଗର୍ବିତ
"I always believe that Divyang brothers and sisters are capable, strongly determined, courageous and possess tremendous resolve","ମୁଁ ସଦାସର୍ବଦା ବିଶ୍ୱାସ କରେ ଯେ ଆମର ଦିବ୍ୟାଙ୍ଗ ଭାଇଭଉଣୀମାନେ ସାମର୍ଥ୍ୟବାନ୍, ଦୃଢ଼ ସଂକଳ୍ପଯୁକ୍ତ, ସାହସୀ ଏବଂ ନିଷ୍ଠାବାନ ଅଟନ୍ତି"
We get to learn something each moment from them,ସେମାନଙ୍କଠାରୁ ସବୁବେଳେ ଆମକୁ କିଛି ଶିଖିବାକୁ ମିଳିପାରେ
"Be it the field of sports or space science, the women of our country lag behind none",କ୍ରୀଡ଼ାକ୍ଷେତ୍ର ହେଉ ବା ମହାକାଶ ବିଜ୍ଞାନ କ୍ଷେତ୍ର ଆମ ଦେଶର ମହିଳାମାନେ କୌଣସି କ୍ଷେତ୍ରରେ ପଛୁଆ ନାହାନ୍ତି
