text,te_text
They have launched a very big campaign for building 'Check Dams',అక్క‌డ చెక్‌ డ్యాం పేరుతో పెద్ద ఆందోళ‌న చేప‌ట్టారు
They have started an exercise to check and stop the flow of water,జల సంరక్షణ కోసం ప్రతి ఒక్క నీటి చుక్కను దాచుకోవాలి
Some states have started a campaign and made a number of small dams at distances of 10 to 20 kilometres in the rivers themselves to check the flow of water,వృథాగా పోయే నీటిని ఆపే ప్ర‌య‌త్నం ! కొన్ని రాష్ట్రాల్లో న‌దుల మీద చిన్న‌చిన్న ఆన‌క‌ట్ట‌లు క‌ట్టి 10 కిలోమీటర్ల నుండి 20 కిలోమీట‌ర్ల నీటిని ఆపే దిశ‌లో ప‌నులు చేప‌ట్టారు
This is a wonderful experience,ఇదంతా ఒక అద్బుతమైన అనుభ‌వం
"I urge the people of India that during this June, July, August September, we should resolve that we shall not let a single drop of water be wasted","రాబోయే జూన్‌, జులై, ఆగ‌స్టు, సెప్టెంబ‌ర్ నెలల్లో రండి మ‌న‌మంతా ఒక్క‌నీటి చుక్క కూడా వృథా కానివ్వం అనే నిర్ణ‌యాన్ని తీసుకుందాం అంటూ"
We should decide right now upon the places where we can conserve water and where we can check the flow of water,జల సంరక్షణ కోసం ప్రతి ఒక్క నీటి చుక్కను దాచుకోవాలి
"The Almighty blesses us with water according to our needs, nature fulfils our needs",మ‌న అవ‌స‌రాల‌కు త‌గ్గ‌ట్లు భ‌గ‌వంతుడు నీటిని అనుగ్ర‌హించాడు
"But if we become careless during the abundance of water and then during the lean water season land into trouble due to water scarcity, how can this be allowed","? వ‌ర్షాకాలం ముగిసిన తరువాత నీరులేక‌పోతే అల్లాడిపోతాం? అప్పుడు ఎలా? నీటిని గురించి అంటే, ఒక్క రైతుల గురించే కాదండి"
And the issue of water is not just for the farmers,నీరు వృధా అవ‌లేదు
"This concerns everybody the villages, the poor, the labourers, the farmers, the urban people, the country folk, the rich and the poor","ప‌ల్లెవాసులు, పేద‌వారు, డ‌బ్బున్న‌వారు, కూలీలు, రైతులు, ప‌ట్న‌వాసులు, గ్రామీణులు అంద‌రికీ సంబంధించిన విష‌యం ఇది"
"And for this reason, now that the rainy season is approaching, saving water should be our priority","అందుక‌ని నీటిని నిల్వ చేయ‌డం, నీటిని పొదుపుగా వాడుకోవడం, సేద్యపు నీటిని సద్వినియోగించడం ఇవన్నీ కూడా సమ ప్రాధాన్యం ఇవ్వదగ్గవే"
"And when we celebrate Diwali this time, then we should also revel in how much water did we save; how much water we stopped from flowing out","ఈసారి దీపావ‌ళి సంబ‌రాలు జ‌రుపుకునేట‌ప్పుడు ఎంత నీటిని దాచుకోగ‌లిగాం, ఎంత నీటిని వృథాకాకుండా ఆప‌గ‌లిగాం అనే విష‌యాన్ని సంతోషంగా చెప్పుకోగ‌ల‌గాలి"
You will see for yourselves that our joy will increase manifold,నాకు ఈ విష‌యం తెలిసి చాలా సంతోషం అనిపించింది
"Water has this power, no matter how tired one is, just a bit of water splashed on the face makes one feel so refreshed",నీటికి ఎంత శ‌క్తి ఉందంటే మ‌నం ఎంత అలసిపోయి వ‌చ్చినా మొహం మీద ఇన్ని నీళ్లు చిల‌క‌రించుకున్నామ‌నుకోండి
"No matter how tired we are; when we see a large lake or an ocean, how magnificent that sight is","అంత శ‌క్తి ! బాగా అలిసిపోయినా, ఒక పెద్ద చెరువును చూసిన‌ప్పుడు"
What a priceless treasure it is bestowed upon us by the Almighty,అవునా ! ఇంత అమూల్య‌మైన సంప‌దను దైవం ద్వారా మనం పొందాం
Just connect to it with your heart,లోతుల్లోకి వెళ్లండి
Conserve it,వాటిని చూడండి
We should harvest water,మనకు నీరు కావాలి
We should also store water,మనకు నీరు కావాలి
We should also modernise water irrigation,"అందుక‌ని నీటిని నిల్వ చేయ‌డం, నీటిని పొదుపుగా వాడుకోవడం, సేద్యపు నీటిని సద్వినియోగించడం ఇవన్నీ కూడా సమ ప్రాధాన్యం ఇవ్వదగ్గవే"
This I say as an earnest appeal,నేను ప్రజలకు ఒక విన్నపం చేస్తున్నాను
We should not let this season go waste,నీరు వృధా అవ‌లేదు
"The coming four months should be transformed into a Save the Water Campaign, to save every drop of water",ఆ నాలుగు నెల‌ల్నీ చుక్క‌చుక్క నీటిని కాపాడుకునేందుకు 'జల్ బచావో అభియాన్ 'గా మార్చుకుందాం
"And this is not just for the governments, not just for the politicians, it is a work to be carried out by the people at large","ప‌ల్లెవాసులు, పేద‌వారు, డ‌బ్బున్న‌వారు, కూలీలు, రైతులు, ప‌ట్న‌వాసులు, గ్రామీణులు అంద‌రికీ సంబంధించిన విష‌యం ఇది"
Recently the Media reported about the water crisis in great detail,"ప్ర‌చార‌ మాధ్యమాలు, ప్ర‌సార మాధ్య‌మాలు గ‌తంలో నీటి ఎద్ద‌డిని గురించి విస్తృతంగా వివ‌రించాయి"
"I hope that the Media will show the path to the people on how to save water, start a campaign, and also share the responsibility to free us from the water crisis forever; I invite then as well","నీటిని కాపాడుకునే విష‌యంలో కూడా ఈ మాధ్య‌మాలు ప్ర‌జ‌ల‌కు మార్గ‌ద‌ర్శ‌నం కావాల‌ని, ఉద్య‌మాలు చేప‌ట్టాల‌ని, నీటి ఇబ్బంది నుంచి మ‌న‌ల్ని సంపూర్ణంగా త‌ప్పించే విష‌యంలో భాగ‌స్వాములు కావాల‌ని కోరుకుంటూ"
"My dear Countrymen, we have to build a modern India",మ‌న దేశాన్ని మ‌నం ఆధునిక రంగంలోకి తీసుకువెళ్లాలి
We have to make a transparent India,మ‌న దేశం పార‌ద‌ర్శ‌కం కావాలి
We have to make many services uniformly available across the entire country from one corner to another,ఎన్నో వ‌న‌రులు స‌మాన స్థాయిలో దేశంలోని అన్ని మూల‌ల‌కు చేరేట్టు చూడాలి
So we will have to change some of our old habits as well,మ‌న పాత అల‌వాట్ల‌ను కొంచెంగా మార్చుకోవాలి
"Today I want to touch upon one topic in which if you can be of help to me, then we can together achieve progress in that direction",ఆ విష‌యంలో మీరు గ‌నుక నాకు స‌హాయ‌ప‌డిన‌ట్ల‌యితే ఆ దిశ‌లో త‌ప్ప‌కుండా మ‌నం అభివృద్ధిని సాధించ‌గ‌ల‌మ‌నే నా న‌మ్మ‌కం
"We all know and we were taught about it in school that there was a time when there were no coins, no currency notes; there was a barter system","ఒక‌వేళ మ‌నం ఈ వ్య‌వ‌స్థ‌ను వినియోగించుకోవ‌డం నేర్చుకున్నామంటే, మ‌న‌కు క‌రెన్సీ అవ‌స‌రం ఉండ‌దు; నోట్ల అవ‌స‌రం ఉండ‌దు; డ‌బ్బుల అవ‌స‌రం ఉండ‌దు"
If you wanted vegetables you could give wheat in return,"అంటే మీకు కూర‌లు కావాలంటే, దానికి బ‌దులుగా కొంత ధాన్యం ఇచ్చేవాళ్లు"
"If you wanted salt, you could give vegetables in exchange","ఉప్పు కావాలంటే, కూర‌లు ఇచ్చేవాళ్లు"
Business was carried out only through the barter system,బార్ట‌ర్ సిస్ట‌మ్ అంటే ఇదే
"Then gradually came currency, coins came, notes came","మెల్ల‌మెల్ల‌గా నాణేలు, అదే 'కాయిన్స్' వ‌చ్చాయి, నోట్లు వ‌చ్చాయి"
But now times have changed,"కానీ, కాలం మారింది"
The whole world is moving towards a cashless society,ప్ర‌పంచం న‌గ‌దు ర‌హిత వ్య‌వ‌స్థ వైపు ప‌రుగులు తీస్తోంది
"Through the facility of electronic technology, we can get money and also give money; we can buy things and pay our bills too","ఎల‌క్ట్రానిక్ టెక్నాలజి ద్వారా మ‌నం డ‌బ్బులు తీసుకోగ‌లం, ఇవ్వ‌గ‌లం"
And with this there is no question of our wallets getting stolen from our pocket,దీనివ‌ల్ల జేబు నుంచి ప‌ర్స్ కాజేస్తార‌న్న భ‌య‌మే ఉండ‌దు
We need not worry about keeping an account; the account will be maintained automatically,ఆటోమేటిక్ లెక్క‌లు ఉంటాయి
"In the beginning it may appear to be a bit difficult, but once we get used to it, then this arrangement will seem very easy for us",మొద‌ట్లో ఇది క‌ష్టంగా ఉంటుంది
"And this possibility is there because under the Pradhan Mantri Jan Dhan Yojana that we have started recently, nearly all the families in the country have had their bank accounts opened",మేము ఈ మ‌ధ్య ప్ర‌వేశ‌పెట్టిన 'ప్ర‌ధాన‌ మంత్రి జ‌న్‌ ధ‌న్ యోజ‌న' వ‌ల్ల దేశంలోని దాదాపు అన్ని కుటుంబాలు బ్యాంకులో ఖాతాలు తెరిచాయి
"On the other hand, they have also got their Aadhar numbers",ఇంకొక వైపు ఆధార్ నంబ‌ర్ ల‌భించింది
And the mobile phone has reached the hands of almost every Indian,ఇప్పుడు భార‌త‌దేశంలో ప్ర‌తి ఒక్క భార‌తీయుడి చేతిలో మొబైల్ ఉంది
"So Jan Dhan, Aadhar and Mobile Jam J","'జ‌న్‌ ధ‌న్', 'ఆధార్' మ‌రియు 'మొబైల్' 'JAM'ను జోడిస్తూ క్యాష్‌లెస్ సొసైటీ వైపు ముందుకు న‌డ‌వ‌వ‌చ్చు"
A,పి
M,పి
"Synchronising these three, we can move ahead towards a cashless society","'జ‌న్‌ ధ‌న్', 'ఆధార్' మ‌రియు 'మొబైల్' 'JAM'ను జోడిస్తూ క్యాష్‌లెస్ సొసైటీ వైపు ముందుకు న‌డ‌వ‌వ‌చ్చు"
You must have seen that along with the Jan Dhan account people have been given a RuPay card,జ‌న్‌ ధ‌న్ అకౌంట్‌తో పాటు
In the coming days this card is going to be useful as both a credit and a debit card,వ‌చ్చేరోజుల్లో ఈ కార్డు క్రెడిట్ మ‌రియు డెబిట్ రెండు విధాలుగా ప‌నికొస్తుంది
And nowadays a very small instrument has come which is called 'point of sale' P,దానిపేరు 'పాయింట్ ఆఫ్ సేల్' పోస్‌‌
O,పి
S,పి
'Pos',పి
"With the help of that, be it your Aadhar number or your RuPay card, if you have to pay money to someone, you can do it through that","మీ ఆధార్ నంబ‌ర్‌, రూపే కార్డు సాయంతో ఎవ‌రికైనా డ‌బ్బులు చెల్లించగ‌ల‌రు"
There is no need to take out any money from your pocket and count it; there is no need to carry around any cash with you,"జేబులో నుండి డ‌బ్బులు తీసి, లెక్క‌పెట్ట‌న‌వ‌స‌రం లేదు"
"One of the initiatives in this regard taken by the Government of India is about how to make payments through 'Pos', how to receive money",అందులో ఒక‌టి పోస్‌ ద్వారా చెల్లింపు ఎలా చేయాలి? డ‌బ్బులు ఎలా తీసుకోవాలి? అన్న‌ది
The second endeavour we have started is Bank on Mobile,మేము మొద‌లుపెట్టిన రెండో ప‌ని 'బ్యాంక్ ఆన్ మొబైల్ యూనివ‌ర్స‌ల్ పేమెంట్ ఇంట‌ర్‌ఫేస్ బ్యాంకింగ్ ట్రాన్‌సాక్ష‌న్స్‌UPI విధానాన్ని మార్చేస్తుంది
The 'Universal Payment Interface' banking transaction UPI will change the way things work,మేము మొద‌లుపెట్టిన రెండో ప‌ని 'బ్యాంక్ ఆన్ మొబైల్ యూనివ‌ర్స‌ల్ పేమెంట్ ఇంట‌ర్‌ఫేస్ బ్యాంకింగ్ ట్రాన్‌సాక్ష‌న్స్‌UPI విధానాన్ని మార్చేస్తుంది
It will become very easy to do money transactions through your mobile phone,మొబైల్ ఫోన్ ద్వారా మ‌నీ ట్రాన్‌సాక్ష‌న్ చేయ‌డం సుల‌భ‌మైపోతుంది
And I'm happy to tell you that the N,నేను ఎమ్
P,పి
C,పి
I,పి
and banks are working together to launch this platform through a mobile app,"సంతోష‌క‌ర‌మైన విష‌యం ఏమిటంటే, ఎన్పీసీఐ మ‌రియు బ్యాంకులు ఈ ప్లాట్‌ఫాంను మొబైల్ యాప్ ద్వారా ప్రారంభించే దిశ‌గా కసరత్తు చేస్తున్నాయి"
"If this happens, perhaps you may not even need to carry a RuPay card with you","ఒక‌వేళ ఇది క‌నుక జ‌రిగితే, బ‌హుశా మీకు రూపే కార్డును మీతో కూడా అట్టిపెట్టుకునే పని ఉండ‌దు"
"Across the country, nearly 1",దేశ‌వ్యాప్తంగా సుమారు 1
25 lakh young people have been recruited as banking correspondents,25 ల‌క్ష‌ల బ్యాంకింగ్ క‌రెస్పాండెంట్లుగా న‌వ‌యువ‌కుల‌కు భ‌ర్తీ చేయ‌డం జ‌రుగుతున్న‌ది
In a way we have worked towards providing the bank at your door step,ఒక‌ర‌కంగా బ్యాంకు మీ గుమ్మం ముందుకు వ‌చ్చే దిశ‌లో ప‌నిచేస్తున్న‌ది
Post offices have also been geared up for banking services,పోస్టాఫీసును కూడా బ్యాంకింగ్ సేవ‌ల కోసం ప్రోత్స‌హించ‌డం జ‌రుగుతున్న‌ది
"If we learn and adapt ourselves to use these services, then we will not require the currency, we will not need notes, we will not need coins","ఒక‌వేళ మ‌నం ఈ వ్య‌వ‌స్థ‌ను వినియోగించుకోవ‌డం నేర్చుకున్నామంటే, మ‌న‌కు క‌రెన్సీ అవ‌స‌రం ఉండ‌దు; నోట్ల అవ‌స‌రం ఉండ‌దు; డ‌బ్బుల అవ‌స‌రం ఉండ‌దు"
"Businesses will function automatically, resulting in a certain transparency",తత్ఫలితంగా పార‌ద‌ర్శ‌క‌త చోటు చేసుకొంటుంది
Underhand dealings will stop; the influence of black money will be reduced,న‌ల్ల‌ ధ‌నం ప్ర‌భావం త‌గ్గిపోతుంది
"So I appeal to my countrymen, that we should at least make a beginning",అందుకే నేను దేశ ప్ర‌జ‌ల‌ను దీనిని మొద‌లుపెట్ట‌వలసిందిగా కోరుతున్నాను
"Once we start, we will move ahead with great ease","ఒక్క‌సారి మొదలుపెడితే నెమ్మది నెమ్మదిగా, సులభంగా ముందుకు వెళ్ల‌గ‌లం"
Twenty years ago who would have thought that so many mobiles would be in our hands,30 సంవ‌త్స‌రాల క్రితం మ‌న చేతిలో మొబైల్ ఉంటుంద‌ని మ‌నం ఊహించామా
Slowly we cultivated a habit and now we can't do without those,కానీ నెమ్మది నెమ్మదిగా అల‌వాటు అయిపోతే
Maybe this cashless society assumes a similar form,ఈ న‌గ‌దు ర‌హిత స‌మాజం కూడా అలాంటి రూపాన్నే ధ‌రించ‌వ‌చ్చు
"But the sooner this happens, the better it will be","కానీ అది ఎంత త్వరగా జ‌రిగితే, అంత బాగుంటుంది"
"My dear countrymen, whenever the Olympic games come around, and when these begin, we sit and clutch our heads and sigh, ""we were left so far behind in the tally of gold medals... did we get a silver or not... should we do with just a bronze or not..."" This happens",ఒలింపిక్స్ మొదలైన‌ప్పుడు మ‌నం త‌ల‌ ప‌ట్టుకుని కూర్చుంటాం
It is true that in the field of sports we face a lot of challenges,ఈ క్రీడ‌ల‌లో మ‌న‌ ముందు సవాళ్లు ఉన్నాయి
But an atmosphere for sports should be created in the country,దేశ‌ ప్ర‌జ‌లు ఈ క్రీడాకారుల ప‌ట్ల సానుకూల వాతావ‌ర‌ణాన్ని త‌యారు చేయాలి
"To encourage the sportspersons who are leaving for the Rio Olympics, to boost their morale, everyone should try in one's own way","రియో ఒలింపిక్స్‌కు వెళ్లే మ‌న ప్రియ‌మైన క్రీడాకారుల‌కు ఆహ్లాద‌క‌ర‌మైన‌, ఉత్సాహ‌క‌ర‌మైన వాతావ‌ర‌ణాన్ని ఇద్దాం"
"Someone could write a song, someone could draw cartoons, someone could send messages with good wishes, somebody could cheer a particular sport, but on the whole a very positive environment should be created in the entire country for these sportspersons",దేశ‌ ప్ర‌జ‌లు ఈ క్రీడాకారుల ప‌ట్ల సానుకూల వాతావ‌ర‌ణాన్ని త‌యారు చేయాలి
"Whatever may be the result, a game is a game, one can win or lose, medals are won sometimes and sometimes not; our spirits should always soar high","ఆ చిత్రాన్ని ప్ర‌ద‌ర్శ‌న‌లో ఉంచిన‌ప్పుడు చూసిన‌ వాళ్లు ""దీనికి మెరుగులు దిద్దాలి, నీలం రంగు బ‌దులు ప‌సుపు రంగు వాడుంటే బాగుండేది, ఆ గీత‌లు ఇటునుంచి కాకుండా అటునుంచి ఉండుంటే బాగుండేది"" అని సూచనలు చేశారు ! నా చిత్రాన్ని చూసిన‌ వాళ్ల‌లో క‌నీసం ఒక‌రైనా క‌న్నీళ్లు పెట్టుకుంటారేమోన‌ని ఆశ‌ప‌డ్డాను అన్నారు"
"And as I speak, I would like to mention our Sports Minister Shri Sarbanand Sonowal for a gesture that has touched my heart",ఈ విష‌యంలో మ‌న క్రీడా మంత్రి శ్రీ స‌ర్బానంద్ సోనోవాల్ చేసిన ఒక ప‌ని నా మ‌న‌సుకు హ‌త్తుకుపోయింది
Last week all of us were busy in the ups & downs of Assam election results,వారు అస్సాం ఎన్నిక‌ల ఫ‌లితాల‌కు ముందు ఎవ్వ‌రికీ చెప్ప‌కుండా ప‌టియాలా చేరుకున్నారు
Shri Sarbanandji himself was leading the campaign,స‌ర్బానంద్ గారు స్వ‌యంగా అస్సాం ఎన్నిక‌ల్లో ముఖ్య‌మంత్రి ప‌ద‌వికి పోటీ ప‌డుతున్నారు
He was the Chief Ministerial candidate; but he was also the Union Minister,కానీ వారు అప్ప‌టికే కేంద్ర‌ ప్ర‌భుత్వంలో మంత్రి
"And I was very happy when I came to know that one day before the Assam election results, he discreetly reached Patiala in Punjab",వారు అస్సాం ఎన్నిక‌ల ఫ‌లితాల‌కు ముందు ఎవ్వ‌రికీ చెప్ప‌కుండా ప‌టియాలా చేరుకున్నారు
You must be aware of the Netaji Subhash National Institute of Sports N,నేతాజీ సుభాష్ నేష‌న‌ల్ ఇన్ స్టిట్యూట్ ఆఫ్ స్పోర్ట్స్ నిస్‌ లో ఒలింపిక్స్ కు వెళ్లే ఆట‌గాళ్లు శిక్షణ పొందుతున్న సంగ‌తి అంద‌రికీ తెలిసిందే
I,పి
S,పి
where the sportspersons going for the Olympics are trained,ఒలింపిక్స్ మొదలైన‌ప్పుడు మ‌నం త‌ల‌ ప‌ట్టుకుని కూర్చుంటాం
They all are there,వాటిని చూడండి
"He suddenly reached there, much to the surprise of the sportspersons",వారు అక‌స్మాత్తుగా అక్క‌డికి చేరుకోవ‌డం అక్క‌డ ఉన్న క్రీడాకారుల‌ను ఆశ్చ‌ర్య‌ప‌రిచింది
"And it was a matter of surprise for the world of sports as well, that a Minister personally cares for our sportspersons","క్రీడా జ‌గత్తులో ఉన్న‌వారిని ప్రోత్స‌హిద్దాం, క్రీడాకారుల‌ను ప్రోత్స‌హిద్దాం"
What are the arrangements for them,? వీటి గురించి ఏర్పాట్లు చేద్దాం
How is the food,"?, భోజ‌నం ఎలా ఉంది"
Are they getting nutritious food according to their needs or not,"?, వారి శ‌రీరానికి అవ‌స‌ర‌మైన పౌష్టికాహారం అంద‌జేయ‌బ‌డుతున్న‌దా"
Are the appropriate trainers for their body fitness present there,? స‌రైన శిక్షకులు ఉన్నారా
Are all the training machines functioning properly,? శిక్ష‌ణకు కావ‌ల‌సిన ప‌రిక‌రాలు స‌రిగ్గా ప‌నిచేస్తున్నాయా
He surveyed everything in great detail,ఈ వివ‌రాలన్నీ పూర్తిగా వివ‌ర‌ణ‌ల‌తో ఉన్నాయి
He personally inspected each and every sportsperson's room,ఒక్కొక్క క్రీడాకారుడి గ‌దిలోకి వెళ్లి చూశారు
He spoke to all the players in great detail,ఈ వివ‌రాలన్నీ పూర్తిగా వివ‌ర‌ణ‌ల‌తో ఉన్నాయి
He had a word with the management and trainers; he himself ate with the sportspersons,క్రీడాకారుల‌తో క‌లసి భోజ‌నం చేశారు
"With election results being due, with the distinct possibility of a new responsibility as a Chief Minister, and yet if one of my colleagues, in the capacity of a Sports Minister, displays such concern for his work, then it gives me great joy","ముఖ్య‌మంత్రిగా కొత్త బాధ్య‌త‌లు స్వీక‌రించాలి; కానీ, నా ఒక స్నేహితుడొకరు క్రీడా మంత్రిగా త‌మ కర్తవ్యం పట్ల ఇంతగా ఆలోచించ‌డం నాకు ఆనందాన్ని క‌ల‌గ‌జేసింది"
"And I am confident that like this, we should all realize the importance of sports, we should encourage the people in the world of sports, encourage our sportspersons","క్రీడా జ‌గత్తులో ఉన్న‌వారిని ప్రోత్స‌హిద్దాం, క్రీడాకారుల‌ను ప్రోత్స‌హిద్దాం"
"This becomes a source of strength in itself, when the sportsperson feels that his 125 crore countrymen are with him, his morale gets boosted",125 కోట్ల మంది ప్ర‌జ‌లు త‌మతో ఉన్నార‌ని క్రీడాకారుడికి తెలిసిన‌ప్పుడు ఆ ఉత్సాహం ద్విగుణీకృతం అవుతుంది
Last time I spoke to you about the FIFA Under 17 World Cup and recently I got to see the suggestions that have come pouring in,పోయిన‌సారి నేను ఎఫ్ఐఎఫ్ఎ అండ‌ర్‌17 వ‌ర‌ల్డ్‌క‌ప్ గురించి మాట్లాడాను
And these days I have noticed that a conducive atmosphere for Football can be seen in the whole country,ఈ మ‌ధ్య నేను చూసిందేమిటంటే ఫుట్‌బాల్ యొక్క వాతావ‌ర‌ణం దేశ‌మంతటా క‌న‌ప‌డుతోంది
Many people are taking an initiative to form their own teams,చాలా మంది చొర‌వ తీసుకుని త‌మ‌ త‌మ జ‌ట్ల‌ను త‌యారు చేస్తున్నారు
I have received thousands of suggestions on the NarendraModi Mobile App,నరేంద్రమోది మొబైల్‌ App ద్వారా నాకు చాలా స‌ల‌హాలు అందాయి
"Maybe many people don't play the game themselves, but hundreds of thousands of young Indians have displayed such keen interest in the sport, this by itself was a very delightful experience for me",కానీ వేల‌ కోట్ల ప్ర‌జ‌లు ఈ క్రీడ‌ల ప‌ట్ల ఆస‌క్తి చూపుతున్నారు
"We all know the bond that India has with Cricket, but I saw the same passion for Football as well, and this by itself heralds a very positive signal for the future",క్రికెట్‌తో మ‌న దేశానికున్న అనుబంధం గురించి అంద‌రికీ తెలిసిందే
"For all the selected candidates for the Rio Olympics, and for our favourite sportspersons, we should create a cheerful and positive atmosphere","రియో ఒలింపిక్స్‌కు వెళ్లే మ‌న ప్రియ‌మైన క్రీడాకారుల‌కు ఆహ్లాద‌క‌ర‌మైన‌, ఉత్సాహ‌క‌ర‌మైన వాతావ‌ర‌ణాన్ని ఇద్దాం"
We should not judge everything in terms of victory and defeat,ఇందులో గెలుపూ ఉంటుంది
India should be known in the world for its spirit of sportsmanship,క్రీడా స్ఫూర్తితో భార‌త‌దేశం ప్ర‌పంచంలో గుర్తింపు తెచ్చుకుంటోంది
I appeal to my countrymen to contribute their bit in creating an atmosphere that boosts the spirits and enthusiasm of our athletes,దేశ‌ ప్ర‌జ‌లు ఈ క్రీడాకారుల ప‌ట్ల సానుకూల వాతావ‌ర‌ణాన్ని త‌యారు చేయాలి
"In the last week or so, results have been pouring in from all over the country...","గ‌త ఎనిమిది, తొమ్మిది రోజుల నుండి ఏదో ఒక చోట నుండి ఫ‌లితాలు వ‌స్తున్నాయి"
"and I am not talking about election results... I am talking about those students who slogged for the entire year, those of 10th and 12th Class",సంవ‌త్స‌రం పొడ‌వునా క‌ష్ట‌ప‌డి ప‌రీక్ష‌లు రాసిన విద్యార్థుల గురించి మాట్లాడుతున్నాను
It is clear that our daughters are marching ahead triumphantly,ఇందులో మ‌న అమ్మాయిలు వారి మేథాశక్తిని చాటి చెప్పారు
It is a matter of joy,ఈ విష‌యం నాకు చాలా ఆనందాన్ని ఇస్తున్న‌ది
"To those who have succeeded in these exams, I extend my congratulations and felicitations",ఈ ప‌రిణామాల‌లో నెగ్గిన‌వారికి శుభాకాంక్ష‌లు తెలియ‌జేస్తున్నాను
"And those who were not able to succeed, I would like to tell them once again that there is a lot to do in life","ఉత్తీర్ణులు కాని వారికి మ‌రోసారి నేను చెప్పేదేమిటంటే, జీవితంలో చేయ‌డానికి చాలా ఉంది"
Life does not get stuck if we do not get results according to our expectations,"మ‌నం అనుకున్న ప‌రిణామాలు రాక‌పోతే, జీవితం అక్క‌డే ఆగిపోదు"
"We should live with hope, we should move ahead with confidence","ఆత్మ‌ విశ్వాసంతో జీవించాలి, ఆత్మ‌ విశ్వాసంతో ముందుకు సాగాలి"
"But I have been confronted with a new type of question, about which earlier I had never given a thought",కానీ ఒక కొత్త‌ ర‌కం స‌మ‌స్య నా ముందుకు వ‌చ్చింది
I've received one email on MyGov,నా mygov
"in site, which drew my attention",అందుకోసం
One Mr,పి
"Gaurav, Gaurav Patel of Madhya Pradesh writes that in the M",మ‌ధ్య‌ ప్ర‌దేశ్‌కు చెందిన గౌర‌వ్ ప‌టేల్ అనే ఆయన త‌న సమ‌స్యను నా ముందు ఉంచారు
P,పి
Board exam he has secured 89,బోర్డ్ ప‌రీక్ష‌ల‌లో 89
33% marks,33 శాతం మార్కుల‌తో సంతోష‌ప‌డ‌లేదు
Reading this I felt elated,నాకు ఈ విష‌యం తెలిసి చాలా సంతోషం అనిపించింది
"But in his continued narration, he tells us his tale of woes",అయితే దాని భావం మాత్రం ఇదే
"Gaurav Patel says that Sir, afte securing 89",మీరు సాధించిన 89
"33% marks when I reached home, I was thinking that I would be congratulated by my family and friends, I would be applauded","33 శాతం మార్కుల్ని మీ వాళ్లు, మీ మిత్రులు, మీ సాటి వారు మెచ్చుకుని ఉంటే బాగుండేది"
"But I was amazed when everybody in the house, friends and my teachers said the same thing, ""Oh Dear, if your had secured just 4 more marks, you would have made it to 90%""","కానీ అంద‌రూ ""అయ్యో! ఇంకో నాలుగు మార్కులు వ‌స్తే, 90 శాతం అయ్యేది క‌దా! అన‌డం నాకు ఆశ్చ‌ర్యాన్ని క‌లిగించింది"
"So it seems that my family, my friends, my teachers, nobody was pleased with my 89","అంటే నా కుటుంబం, నా స్నేహితులు, నా టీచ‌ర్"
33% marks,33 శాతం మార్కుల‌తో సంతోష‌ప‌డ‌లేదు
Everyone was lamenting that I missed my 90% by four marks,"కానీ అంద‌రూ ""అయ్యో! ఇంకో నాలుగు మార్కులు వ‌స్తే, 90 శాతం అయ్యేది క‌దా! అన‌డం నాకు ఆశ్చ‌ర్యాన్ని క‌లిగించింది"
Now I'm perplexed and don't know how to handle the situation,టి ప‌రిస్థితిని ఎలా ఎదుర్కోవాలో నాకు అర్థం కావ‌డంలేదు
Is this all to life,జీవితంలో ఇదే స‌ర్వ‌స్వ‌మా
Was what I did not good enough,నేను కోరేది ఏమిటంటే
Did I not prove myself,? ఏమో
I don't know but I feel a burden on my heart and mind,నా మ‌న‌సుపై ఇది ఒక భారంగా అనిపిస్తుంది అంటూ ఆయన రాసి పంపారు
"Gaurav, I have read your letter very carefully",మీరు చెప్పింది ఎంతో జాగ్ర‌త్త‌గా విన్నాను
And I feel that perhaps this pain is not just yours; like you there are many lakhs and crores of other students who share the same pain,"అది మీలాంటి ల‌క్ష‌ల, కోట్ల విద్యార్థుల‌ది అయి ఉండాలి"
"Because nowadays there is a trend that instead of finding satisfaction in what we have achieved, we tend to express our dissatisfaction in not achieving unrealistic goals","సాధించిన దానికి సంతోషప‌డ‌కుండా సాధించ‌ని దాని గురించి వెతుకులాడ‌టం ఇది ఏమీ చేయ‌లేక‌పోవ‌డానికి, వెనుక‌డుగు వేయ‌డానికి దారి తీస్తుంది"
This is another form of negativity,ఇది ఒక కార్య‌క్ర‌మం కాదు
We can never guide society towards the path of satisfaction if we always find dissatisfaction in everything,"ప్ర‌తి విష‌యంలోనూ అసంపూర్ణ‌త్వాన్నే అంటే వెలితినే వెతుకుతుంటే, మ‌నం స‌మాజాన్ని సంతోషం వైపు న‌డిపించ‌గ‌ల‌మా…? లేదు"
"It would have been better if your family members, your class mates and your friends had appreciated your 89","33 శాతం మార్కుల్ని మీ వాళ్లు, మీ మిత్రులు, మీ సాటి వారు మెచ్చుకుని ఉంటే బాగుండేది"
33%,పి
Then you would have felt motivated enough to do a lot more,ముందుముందు మ‌రింత అభివృద్ధి సాధించాల‌ని మీకు తోచుండేది
