text,hi_text
This too strengthens the spirit of 'Ek BharatShreshtha Bharat',
You all know that we are celebrating the 400th birth anniversary of Veer Lachit Borphukan ji,
The brave Lachit Borphukan had liberated Guwahati from the clutches of the tyrannical Mughal Sultanate,
"Today, the country is getting acquainted with the indomitable courage of this great warrior",
"A few days ago, a campaign for essay writing based on the life of Lachit Borphukan was launched",
You will be surprised to know that about 45 lakh people sent essays for this,
You will also be happy to know that now it has become a Guinness Record,
And the biggest thing and a matter of great happiness is that these essays that have been written and sent by the people on Veer Lachit Borphukan have been written in about 23 different languages,
"Among them, apart from the Assamese language, people have sent essays in languages like Hindi, English, Bangla, Bodo, Nepali, Sanskrit, and Santhali",
I express my heartfelt appreciation to everyone who has been a part of this effort,
"My dear countrymen, when it comes to Kashmir or Srinagar, the first picture that comes to our mind is of her valleys and Dal Lake",
"All of us would like to enjoy the views of Dal Lake...However, there is one more thing special about Dal Lake",
"Dal Lake is also known for its delicious Lotus Stems, also known as 'Kamal Kakdi'",
Lotus stems are known by different names in different places across the country,
"In Kashmir, they are called Nadru",
The demand for Nadru of Kashmir is continuously increasing,
"In light of this demand, farmers cultivating Nadru in Dal Lake have formed an FPO",
About 250 farmers have joined this FPO,
Today these farmers have started exporting their Nadru to foreign countries,
"Just some time back, these farmers sent two consignments to UAE",
This success is not only bringing a name to Kashmir but also it has increased the income of hundreds of farmers,
"Friends, another such effort of the people of Kashmir related to agriculture is diffusing the fragrance of its success these days",
You must be wondering why I am talking about the fragrance of success Well...it is a matter of fragrance and it is a matter of aroma,
There is a town 'Bhadarwah' in the Doda district of Jammu and Kashmir,
"Here, the farmers had been engaged in traditional maize cultivation for decades, but some farmers thought of doing something different",
"They turned to floriculture, that is, the cultivation of flowers",
"Today, around two and a half thousand farmers are cultivating lavender here",
They have also been handheld through the Aroma Mission of the Central Government,
"This new cultivation has greatly increased the income of the farmers, and today, along with the lavender, the fragrance of their success is spreading far and wide",
"Friends, when there is talk of Kashmir, talk of lotus, talk of flowers, talk of fragrance, then it is very natural to remember Maa Sharda who is seated on the lotus flower",
"A few days ago, the Grand Temple of Maa Sharda was inaugurated in Kupwara",
This temple is built on the same route one would use to go to visit Sharda Peeth,
The local people have helped a lot in the construction of this Temple,
I congratulate the people of Jammu and Kashmir for this auspicious work,
"My dear countrymen, that's all for this edition of 'Mann Ki Baat'",
I will meet you next time in the hundredth episode of 'Mann Ki Baat',
I urge you all to send your suggestions,
"In this month of March, from Holi to Navratri, we have been busy with many festivals",
The holy month of Ramzan has also started,
The auspicious festival of Shri Ram Navami is also going to be celebrated in the next few days,
"After this... Mahavir Jayanti, Good Friday and Easter will also be observed",
"In the month of April, we also celebrate the birth anniversaries of two great personalities of India",
"These are two great men Mahatma Jyotiba Phule, and Babasaheb Ambedkar",
Both these great men made unprecedented contributions to eradicate discrimination from society,
"Today, in 'Azadi ka AmritKaal', we need to learn from such great personalities and take constant inspiration from them",
We have to keep our duties at the forefront,
"Friends, at this time, cases of Corona are also rising in some places",
"That's why, all of you must take precautions and be mindful of cleanliness",
We will meet again next month in the 100th episode of Mann Ki Baat,
"Till then, I take leave of you",
"Thank you, Namaskar",
"My dear countrymen, Namaskar","मेरे प्यारे देशवासियों, नमस्कार"
It will perhaps be difficult for us to forget the year's summer,इस वर्ष की गर्मी शायद ही हम भूल पाएँगे
"But, we are now awaiting the rains",लेकिन वर्षा की प्रतीक्षा हो रही है
"As I am talking to you today , the holy month of Ramzan has already commenced","आज जब मैं आप से बात कर रहा हूँ तब, रमज़ान का पवित्र महीना प्रारम्भ हो चुका है"
"I convey my hearty greetings to all fellow Indians and everyone across the world, especially the Muslim brethren at the advent of this auspicious month of Ramazan","रमज़ान के पवित्र महीने के आगमन पर, मैं भारत और विश्वभर के लोगों को, विशेष करके मुस्लिम समुदाय को, इस पवित्र महीने की हार्दिक शुभकामनाएं देता हूँ"
"Prayer, spirituality and charity are accorded the highest priority during Ramzan","रमज़ान में प्रेयर, स्पिरिचुअलिटी और चैरिटी को काफी महत्व दिया जाता है"
"We, Indians, are very lucky that our ancestors have created such a tradition that today India and its 1","हम हिन्दुस्तानी बहुत ही भाग्यवान हैं कि हमारे पूर्वजों ने ऐसी परंपरा निर्माण की कि आज भारत इस बात का गर्व कर सकता है, हम सवासौ करोड़ देशवासी इस बात का गर्व कर सकते हैं कि दुनिया के सभी सम्प्रदाय भारत में मौजूद हैं"
25 billion people can take pride in the fact that people from all communities and faith are available here,"हम हिन्दुस्तानी बहुत ही भाग्यवान हैं कि हमारे पूर्वजों ने ऐसी परंपरा निर्माण की कि आज भारत इस बात का गर्व कर सकता है, हम सवासौ करोड़ देशवासी इस बात का गर्व कर सकते हैं कि दुनिया के सभी सम्प्रदाय भारत में मौजूद हैं"
This is a country where both theists and atheists ; idolaters and those loathing idolworship coexist,"ये ऐसा देश है जो, ईश्वर में विश्वास करने वाले लोग भी और ईश्वर को नकारने वाले लोग भी, मूर्ति पूजा करने वाले भी और मूर्ति पूजा का विरोध करने वाले भी, हर प्रकार की विचारधारा, हर प्रकार की पूजा पद्धति, हर प्रकार की परंपरा, हम लोगों ने एक साथ जीने की कला आत्मसात की है"
"We have adapted ourselves to myriad kinds of ideologies, different ways of worshipping and all types of traditions and imbibed the art of coexistential living","ये ऐसा देश है जो, ईश्वर में विश्वास करने वाले लोग भी और ईश्वर को नकारने वाले लोग भी, मूर्ति पूजा करने वाले भी और मूर्ति पूजा का विरोध करने वाले भी, हर प्रकार की विचारधारा, हर प्रकार की पूजा पद्धति, हर प्रकार की परंपरा, हम लोगों ने एक साथ जीने की कला आत्मसात की है"
"In the ultimate , any religion, faith, ideology or tradition give us the message of peace, unity and goodwill","और आखिरकार धर्म हो, सम्प्रदाय हो, विचारधारा हो, परंपरा हो, हमें यही सन्देश देते हैं शान्ति, एकता और सद्भावना का"
"This holy month of Ramzan will definitely be helpful in further strengthening these values of peace, unity and goodwill","ये रमज़ान का पवित्र महीना शान्ति, एकता और सद्भावना के इस मार्ग को आगे बढ़ाने में ज़रूर सहायक होगा"
"I, once again convey my best wishes to all",मैं फिर एक बार सबको शुभकामनाएं देता हूँ
"Last time around while sharing my thoughts in Mann ki Baat I had mentioned a new word and had specially exhorted our youth to do something new, to come out of the comfort zone, experience new things; as this is the age when one can experiment and take risks and accept new challenges of life","तो मैंने एक शब्द प्रयोग किया था कि और खासकरके नौजवानों को कहा था, कुछ नया करें, कम्फर्ट ज़ोन से बाहर निकलिए, नये अनुभव लें, और यही तो उम्र होती है ज़िन्दगी को इस प्रकार से जीना, थोड़ा रिस्क लेना, कठिनाइयों को न्योता देना"
I am glad that many people have given me feedback,मुझे खुशी हो रही है कि बहुत सारे लोगों ने मुझे फीडबैक दिया
All of them showed enthusiasm by personally speaking out their minds to me,व्यक्तिगत रूप से मुझे अपनी बात बताने का उत्साह सबने दिखाया
I could not read them all nor could listen to all the messages because there were such a large number of messages,"मैं हर चीज़ को तो पढ़ नहीं पाया हूँ, हर किसी के सन्देश को सुन भी नहीं पाया हूँ, इतने ढ़ेर सारी चीज़ें आई हैं"
"But whatever I could see from a cursory look that while some made efforts to learn music, some tried hands on a new musical instrument, some of them are trying to learn new things by using YouTube, some are trying to learn a new language","लेकिन, मैंने सरसरी नज़र से भी जो देखा किसी ने संगीत सीखने का प्रयास किया है, कोई नये वाद्य पर हाथ आज़मा रहा है, कुछ लोग यू ट्यूब का उपयोग करते हुए नयी चीज़ें सीखने का प्रयास कर रहे हैं, नयी भाषा सीखने का प्रयास कर रहे हैं"
"Some are learning cooking, some others are learning dance and drama ; Some have written that they have now started to write poems","कुछ लोग कुकिंग सीख रहे हैं, कुछ नृत्य सीख रहे हैं, कुछ ड्रामा सीख रहे हैं, कुछ लोगों ने तो लिखा है कि हमने अब कविताएँ लिखना शुरू की हैं"
They are making efforts to know about nature and are learning the art of living and trying to understand the world,"प्रकृति को जानना, जीना, समझना उस दिशा में प्रयास कर रहे हैं"
I am extremely happy and want to share one of the phonecalls with you,मुझे बहुत ही आनंद हुआ और मैं एक फ़ोन कॉल तो आपको भी सुनाना चाहूँगा
"""I am Diksha Katiyal speaking","""दीक्षा कात्याल बोल रही हूँ"
I had almost left the habit of reading,"मेरी पढ़ने की आदत लगभग छूट ही चुकी थी, इसलिए इन छुट्टियों में मैंने पढ़ने की ठानी"
Therefore I decided to pick up the habit during vacations,"मेरी पढ़ने की आदत लगभग छूट ही चुकी थी, इसलिए इन छुट्टियों में मैंने पढ़ने की ठानी"
"When I started reading about the freedom struggle , it was then I realized that how much struggle was involved in getting India freed, how much sacrifices were given and how so many freedom fighters spent years in prison","जब मैंने स्वतंत्रता संग्राम के बारे में पढ़ना शुरू किया, तब मैंने अनुभव किया कि भारत को आजादी दिलाने में कितना संघर्ष करना पड़ा है, कितना बलिदान देना पड़ा है, कितने स्वतंत्रता सेनानियों ने जेलों में वर्षों बिताए"
"I am particularly inspired by Bhagat Singh, who achieved so much at such a young age","मैं भगत सिंह, जिन्होंने बहुत कम उम्र में बहुत कुछ हासिल किया, उससे काफी प्रेरित हुई हूँ, इसलिए मैं आपसे अनुरोध कर रही हूँ कि इस विषय में आप आज की पीढ़ी को कुछ सन्देश दें"
Therefore I request you that you tell something to the younger generation today on this topic,"भाइयो और बहनों, आज मैं एक और ख़ुशी की बात भी आप से बताना चाहता हूँ"
"""",""""
"I am delighted that younger generation is taking interest in knowing about our history, about our freedom fighters and about those who made sacrifices for the country","मुझे खुशी है कि युवापीढ़ी हमारे इतिहास को, हमारे स्वतंत्रता सेनानियों को, इस देश के लिए बलिदान देने वाले लोगों को, उनके विषय में जानने में रूचि रख रही है"
Countless great men spent their youth in jails,"अनगिनत महापुरुष, जिन्होंने जवानी जेलों में खपा दी, कई नौजवान फांसी के तख़्त पर चढ़ गए"
Several youngsters went to the gallows,"अनगिनत महापुरुष, जिन्होंने जवानी जेलों में खपा दी, कई नौजवान फांसी के तख़्त पर चढ़ गए"
They suffered despicable miseries and that is how we can now breathe in a free India,क्या कुछ नहीं झेला और तभी तो आज हम आज़ाद हिन्दुस्तान में सांस ले रहे हैं
We see all those great men who spent their time in jails did a great job of writing and reading,"एक बात हमने देखी होगी कि आज़ादी के आन्दोलन में जिनजिन महापुरुषों ने जेलों में समय बिताया, उन्होंने लेखन का, अध्ययन का, बहुत बड़ा काम किया और उनकी लेखनी ने भी भारत की आज़ादी को बल दिया"
Their writings provided a great strength and inspiration to our Freedom Movement,मैं इस स्वच्छता के काम को बल देने वाले सभी को बधाई देता हूँ
"Many years ago, I visited Andaman & Nicobar Islands",बहुत वर्षों पहले मैं अंडमान निकोबार गया था
I went to see the Cellular Jail there,सेलुलर जेल देखने गया था
Today is the birth anniversary of Veer Savarkarji,आज वीर सावरकर जी की जन्म जयन्ती है
"Veer Savarkarji had written a book ""Majhi Jannmathep"" while in incarceration",वीर सावरकर जी ने जेल में 'माज़ी जन्मठे' किताब लिखी थी
He used to write poems on the walls of his prison cell,"कविताएँ लिखते थे, दीवारों पर लिखते थे"
He was confined to a very small cell,छोटी सी कोठरी में उनको बंद कर दिया गया था
These seekers freedom must have gone through immense torture,आज़ादी के दीवानों ने कैसी यातनाएँ झेली होंगी
"I was inspired to visit the Cellular Jail only after reading Savarkarji's book ""Maazi Janmthep""",वीर सावरकर जी ने जेल में 'माज़ी जन्मठे' किताब लिखी थी
A light and sound show is also shown there which is very inspiring,"वहाँ एक लाइट एंड साउंड शो भी कार्यक्रम चलता है, वो बड़ा ही प्रेरक है"
There was hardly any state in India youths from which were not exiled to the dark waters of Andamans and were forced to spend their youth in this Cellular Jail during the freedom movement,"हिन्दुस्तान का कोई राज्य ऐसा नहीं था, हिन्दुस्तान की कोई भाषा बोलने वाला नहीं होगा जो आज़ादी के लिए काले पानी की सजा भुगतता हुआ अंडमान की जेल में, इस सेलुलर जेल में, अपनी जवानी न खपाई हो"
"included people of every language, every state and every generation had faced tortures during this struggle","हर भाषा बोलने वाले, हर प्रांत के, हर पीढ़ी के लोगों ने यातनाएँ झेली थी"
Today is the birth anniversary of Veer Savarkarjee,आज वीर सावरकर जी की जन्म जयन्ती है
I would definitely want to tell our younger generation that to even perceive what kind of torture and trouble these freedom fighters had suffered to achieve freedom for us one must visit this Cellular Jail,"मैं देश की युवापीढ़ी को ज़रूर कहूँगा कि हमें जो आज़ादी मिली है उसकी कैसी यातना लोगों ने झेली थी, कितने कष्ट झेले थे, अगर हम सेलुलर जेल जाकर देखें, काला पानी क्यों कहा जाता था! जाने के बाद ही पता चलता है"
"Once we go there We come to know as to why this was called Kaalaa Paani or the dark waters If you get a chance, please pay a visit to this place which is actually a pilgrimage of our freedom struggle","आप भी कभी मौका मिले तो, एक प्रकार से हमारी आज़ादी की जंग के तीर्थ क्षेत्र हैं, ज़रूर जाना चाहिए"
"My dear countrymen, 5th of June is the first Monday of the month","मेरे प्यारे देशवासियों, 5 जून, महीने का पहला सोमवार है"
Everything is otherwise normal,ये अचानक नहीं हुआ है
"Yet, 5th of June is a special day as this is observed as ""World Environment Day""","वैसे तो सब कुछ सामान्य है, लेकिन 5 जून, एक विशेष दिवस है क्योंकि 'विश्व पर्यावरण दिवस' के रूप में उसे मनाया जाता है और इस वर्ष उन ने इसका थीम रखा है 'कनेक्टिंग पियोपल टो नेचर'"
This year the United Nations have chosen the theme 'Connecting People to Nature',"वैसे तो सब कुछ सामान्य है, लेकिन 5 जून, एक विशेष दिवस है क्योंकि 'विश्व पर्यावरण दिवस' के रूप में उसे मनाया जाता है और इस वर्ष उन ने इसका थीम रखा है 'कनेक्टिंग पियोपल टो नेचर'"
"In other words, we may say ""back to basics""",""""
And What's the meaning of connecting with nature,"दूसरे शब्दों में कहें तो बैक टो बेसिक्स और नेचर से कनेक्ट का मतलब क्या है? मेरी दृष्टि से मतलब है ख़ुद से जुड़ना, अपने आप से कनेक्ट होना"
"In my view, it means getting connected with one's own self","दूसरे शब्दों में कहें तो बैक टो बेसिक्स और नेचर से कनेक्ट का मतलब क्या है? मेरी दृष्टि से मतलब है ख़ुद से जुड़ना, अपने आप से कनेक्ट होना"
Connecting with nature means nurturing a better planet,नेचर से कनेक्ट का मतलब है बेटर प्लैनेट को नर्चर करना
"And, who can explain this in a better way than Mahatma Gandhi",और इस बात को महात्मा गाँधी से ज़्यादा अच्छे से कौन बता सकता है
"Mahatma Gandhi often used to say, ""One must care about a world one will not see""","महात्मा गाँधी जी कई बार कहते थे ""ओने मस्ट केयर अबाउट आ वर्ल्ड ओने विल नोट सी"" अर्थात् हम जो दुनिया नहीं देखेंगे, हमारा कर्त्तव्य है कि हम उसकी भी चिंता करें, हम उसकी भी केयर करें"
This means that it is our duty to be concerned about the world which we shall not see and to care for that,"महात्मा गाँधी जी कई बार कहते थे ""ओने मस्ट केयर अबाउट आ वर्ल्ड ओने विल नोट सी"" अर्थात् हम जो दुनिया नहीं देखेंगे, हमारा कर्त्तव्य है कि हम उसकी भी चिंता करें, हम उसकी भी केयर करें"
Nature possesses a special power,और लोकतंत्र में एक उत्तम प्रक्रिया है
"You might have also observed that whenever we feel tired and exhausted, splashing a glass of water on our face has a wonderful rejuvenating effect","प्रकृति की एक ताक़त होती है, आपने भी अनुभव किया होगा कि बहुत थक करके आए हो और एक गिलास भर पानी अगर मुहँ पर छिड़क दें, तो कैसी फ्रेशनेस आ जाती है"
"If you return after a tiring day's work, just open the windows and doors of the room and take a deep breath of fresh air this will fill you with fresh energy","बहुत थक करके आए हो, कमरे की खिड़कियाँ खोल दें, दरवाज़ा खोल दें, ताज़ा हवा की सांस ले लें एक नयी चेतना आती है"
Our body is made up of five basic elements and whenever we come in contact with these elements we get fresh energy,"जिन पंच महाभूतों से शरीर बना हुआ है, जब उन पंच महाभूतों से संपर्क आता है, तो अपने आप हमारे शरीर में एक नयी चेतना प्रकट होती है, एक नयी ऊर्जा प्रकट होती है"
"All of us have experienced this but we do not register this, we do not connect this in a single thread of sequence","ये हम सबने अनुभव किया है, लेकिन हम उसको रजिस्टर नहीं करते हैं, हम उसको एक धागे में, एक सूत्र में जोड़ते नहीं हैं"
"Now on, kindly make it a point to notice that whenever you come in contact with a natural condition , a new spirit emerges from within you","जिन पंच महाभूतों से शरीर बना हुआ है, जब उन पंच महाभूतों से संपर्क आता है, तो अपने आप हमारे शरीर में एक नयी चेतना प्रकट होती है, एक नयी ऊर्जा प्रकट होती है"
"So, the global campaign of connecting with nature on 5th June should become our individual campaign as well","इसके बाद आप ज़रूर देखना कि आपको जबजब प्राकृतिक अवस्था से संपर्क आता होगा, आपके अन्दर एक नयी चेतना उभरती होगी और इसलिए 5 जून का प्रकृति के साथ जुड़ने का वैश्विक अभियान, हमारा स्वयं का भी अभियान बनना चाहिये"
And we are reaping the benefits of the efforts made by our ancestors to save the environment,"पर्यावरण की रक्षा हमारे पूर्वजों ने की, उसका कुछ लाभ हमें मिल रहा है"
"And if we shall protect the environment, our future generations will reap the benefits",अगर हम रक्षा करेंगे तो हमारी आने वाली पीढ़ियों को लाभ मिलेगा
"Vedas, describe the Earth and the Environment as the basic sources of energy",वेदों में पृथ्वी और पर्यावरण को शक्ति का मूल माना गया है
"And, Atharva Veda, written thousands of years ago, is the most authentic guiding scripture about nature and environment","और अथर्ववेद तो पूरी तरह, एक प्रकार से पर्यावरण का सबसे बड़ा दिशानिर्देशक ग्रंथ है और हज़ारों साल पहले लिखा गया है"
"In India, it has been said ""Earth is the mother and I am her son""",धरती हमारी माता है और हम उनके पुत्र हैं
"According to Vedas, the purity within us is because of the Earth",वेदों में कहा गया है कि हम में जो प्यूरिटी है वह हमारी पृथ्वी के कारण है
The Earth is our mother and we all are her children,धरती हमारी माता है और हम उनके पुत्र हैं
"If we recall Lord Buddha, a fact comes to light that his birth, his enlightenment and his Mahaparinirvana, all three happened under a tree","अगर हम भगवान् बुद्ध को याद करें तो एक बात ज़रूर उजागर होती है कि महात्मा बुद्ध का जन्म, उन्हें ज्ञान की प्राप्ति और उनका महापरिनिर्वाण, तीनों पेड़ के नीचे हुआ था"
We have many festivals and religious rituals which are based on worshiping nature and affection towards nature is a part of our everyday life,"हमारे देश में भी अनेक ऐसे त्योहार, अनेक ऐसी पूजापद्धति, पढ़ेलिखे लोग हों, अनपढ़ हो, शहरी हो, ग्रामीण हो, आदिवासी समाज हो, प्रकृति की पूजा, प्रकृति के प्रति प्रेम एक सहज समाज जीवन का हिस्सा है लेकिन हमें उसे आधुनिक शब्दों में आधुनिक तर्कों के साथ संजोने की ज़रूरत है"
"This is true in case of all sections of society whether lettered or unlettered , rural or urban and even tribal communities","हमारे देश में भी अनेक ऐसे त्योहार, अनेक ऐसी पूजापद्धति, पढ़ेलिखे लोग हों, अनपढ़ हो, शहरी हो, ग्रामीण हो, आदिवासी समाज हो, प्रकृति की पूजा, प्रकृति के प्रति प्रेम एक सहज समाज जीवन का हिस्सा है लेकिन हमें उसे आधुनिक शब्दों में आधुनिक तर्कों के साथ संजोने की ज़रूरत है"
But we need to present this in modern language and integrate with modern arguments,"ये हम सबने अनुभव किया है, लेकिन हम उसको रजिस्टर नहीं करते हैं, हम उसको एक धागे में, एक सूत्र में जोड़ते नहीं हैं"
"These days , I keep receiving news from our states",इन दिनों मुझे राज्यों से ख़बरें आती रहती हैं
"Almost in every state, a big plantation campaign gets underway with the onset of monsoon",क़रीबक़रीब सभी राज्यों में वर्षा आते ही वृक्षारोपण का एक बहुत बड़ा अभियान चलता है
Millions of trees are planted,करोड़ों की तादात में पौधे लगाये जाते हैं
"School children, social organizations and NGOs also get connected with the campaign","स्कूल के बच्चों को भी जोड़ा जाता है, समाजसेवी संगठन जुड़ते हैं, न्गोस जुड़ते हैं, सरकार स्वयं इनिशिएटिव लेती है"
Even State Governments take an initiative,मीडिया भी उसको बड़ा प्राधान्य देता है
Let us also make our contribution in enhancing this campaign,मैं इस स्वच्छता के काम को बल देने वाले सभी को बधाई देता हूँ
"My dear countrymen, 21st June has become a well known day world over","मेरे प्यारे देशवासियों, 21 जून, अब दुनिया के लिये 21 जून जानापहचाना दिन बन गया है"
The whole world observes this as World Yoga Day,विश्व योग दिवस के रूप में पूरा विश्व इसे मनाता है
"In a very short time, 21st June has got worldwide recognition as World Yoga day and is connecting people","बहुत कम समय में 21 जून का ये विश्व योग दिवस हर कोने में फ़ैल चुका है, लोगों को जोड़ रहा है"
At a time when separatist forces are raising their ugly heads this has been India's great contribution to the world,"एक तरफ़ विश्व में बिखराव की अनेक ताक़तें अपना विकृत चेहरा दिखा रही हैं, ऐसे समय में विश्व को भारत की एक बहुत बड़ी देन है"
We have successfully connected the whole world through Yoga,योग के द्वारा विश्व को एक सूत्र में हम जोड़ चुके हैं
"Like Yoga connects body, mind, heart and soul similarly it is connecting the world now","जैसे योग, शरीर, मन, बुद्धि और आत्मा को जोड़ता है, वैसे आज योग विश्व को भी जोड़ रहा है"
"Because of life style, because of the mad race to achieve success and because of increasing responsibilities, leading a stress free life has become very difficult","आज जीवनशैली के कारण, आपाधापी के कारण, बढ़ती हुई ज़िम्मेवारियों के कारण, तनाव से मुक्त जीवन जीना मुश्किल होता जा रहा है"
"It is seen, this situation is coming up even at a comparatively younger age","और ये बात देखने में आई छोटीछोटी आयु में भी, ये स्थिति पहुँच चुकी है"
"At a time when People are gobbling up medicines indiscriminately and passing their days, Yoga plays a very vital role in helping people to lead a stressfree life","अनापशनाप दवाइयाँ लेते जाना और दिन गुज़ारते जाना, ऐसी घड़ी में तनावमुक्त जीवन जीने के लिए योग की भूमिका अहम है"
Yoga is a guarantee of wellness and fitness both,योग वेलनेस और फिटनेस दोनों की गारंटी है
Yoga is not merely an exercise,योग सिर्फ व्यायाम नहीं है
"How to mount on the journey of life with the interplay of body, mind, thoughts and behavior can be better realized and understood through Yoga","तन से, मन से, शरीर से, विचारों से, आचार से स्वस्थता की एक अंतर्यात्रा कैसे चले उस अंतर्यात्रा को अनुभव करना है तो योग के माध्यम से संभव है"
"Just two days back, I have written letters to all governments and all leaders of the world about the Yoga Day","अभी दो दिन पहले ही मैंने योग दिवस को लेकर के विश्व की सभी सरकारों को, सभी नेताओं को चिट्ठी लिखी है"
"Last year, I made announcements of some Yoga competitions and some awards as well","पिछले वर्ष मैंने योग से संबंधित कुछ स्पर्धाओं की घोषणा की है, कुछ इनामों की घोषणा की है"
We shall gradually advance in that direction,धीरेधीरे उस दिशा में काम आगे बढ़ेगा
I have received one suggestion and I compliment the gentleman who has made this creative suggestion,मुझे एक सुझाव आया है और ये मौलिक सुझाव देने वालों का मैं अभिनंदन करता हूँ
It is a very interesting suggestion,वैसे वो बड़ा मज़ाकिया सुझाव है
"He has said since this is the Third International Yoga Day I should make an appeal that on this third international Yoga Day, three generations of the family should do yoga together",उन्होंने कहा कि ये तीसरा अंतरराष्ट्रीय योग दिवस है और मुझे कहा कि आप अपील करें कि इस बार तीसरा अंतरराष्ट्रीय योग दिवस पर एक ही परिवार की तीन पीढ़ी एक साथ योग करे
"Grand parents, parents and children should together perform Yoga and also upload their photos","दादादादी हो या नानानानी हो, मातापिता हो, बेटेबेटी हो, तीनों पीढ़ी एक साथ योग करें और उसकी तस्वीर अपलोड करें"
"It will be such pleasant blend of Yesterday, today and tomorrow that it will lend a new dimension to Yoga","कल, आज और कल एक ऐसा सुभग संयोग होगा कि योग को एक नया आयाम मिलेगा"
I express my gratitude for this suggestion and I feel that as our 'Selfie with Daughter' campaign had proved to be a very inspiring experience,मैं इस सुझाव के लिए धन्यवाद करता हूँ और मुझे भी लगता है कि जैसे हम लोगों ने सेल्फी विथ डॉगटर का अभियान चलाया था और एक बड़ा ही रोचक अनुभव आया था
So will this campaign of posting pictures of three generations together performing yoga will evoke curiosity across the nation as well as across the world,ये तीन पीढ़ी की तस्वीर योगा करती हुई तस्वीर ज़रूर देश और दुनिया के लिए कौतुक जगाएगी
You should certainly send the pictures of three generations doing yoga together to me on Narendra ModiApp or on Mygov,"आप ज़रूर NarendraModiApp पर, माइगोव पर तीन पीढ़ी जहाँजहाँ योग करती हो, तीनों पीढ़ी के लोग एक साथ मुझे तस्वीर भेजें"
"This will be the picture of ""yesterday, today and tomorrow"" and will be a guarantee of a brighter tomorrow","कल, आज और कल की ये तस्वीर होगी, जो सुहाने कल की गारंटी होगी"
I invite all of you,मैं आप सबको निमंत्रित करता हूँ
We are still left with about three weeks for the International Yoga Day,अभी अन्तरराष्ट्रीय योग दिवस के लिये क़रीब तीन सप्ताह हमारे पास हैं
Start practicing from today itself,आज ही प्रैक्टिस में लग जाइए
"From 1st June, I will post something or the other about Yoga on twitter and continue to do so till 21st June","मैं 01 जून से ट्विटर पर डेली योग के संबंध में कुछनकुछ पोस्ट करूँगा और लगातार 21 जून तक पोस्ट करता रहूँगा, आप से शेयर करूँगा"
I will share with you,मैं आप सबको निमंत्रित करता हूँ
You too kindly spread the message of Yoga and connect people with it,"आप भी तीन सप्ताह लगातार योग के विषय को प्रचारित करिए, प्रसारित करिए, लोगों को जोड़िए"
"This, in a way, is a movement on preventive health care",एक प्रकार से ये प्रिवेंटिव हेल्थ केयर का आंदोलन ही है
I invite you all to get connected to it,मैं निमंत्रित करता हूँ आप सब को इसमें जुड़ने के लिए
"Ever since you entrusted me with the responsibility of being the Pradhan Sewak the Chief Servant of the people and when for the first time when I got a chance to address from the ramparts of Red Fort on 15th August, I had talked of cleanliness","जब से आप लोगों ने मुझे प्रधान सेवक के रूप में कार्य की ज़िम्मेदारी दी है और लाल किले पर से, जब पहली 15 अगस्त थी मेरी, मुझे पहली बार बोलने का अवसर मिला था"
"From then onwards, I get a chance to stay in different parts of the country",इन दिनों मुझे राज्यों से ख़बरें आती रहती हैं
"And, I have seen that people closely follow as to what Modi does, where does Modi go, what all has Modi done",तब से लेकर के आज तक हिंदुस्तान के अलगअलग भागों में मेरा प्रवास होता है और मैंने देखा है कि कुछ लोग बारीकी से मोदी क्या करते हैं? मोदी कहाँ जाते हैं? मोदी ने क्याक्या किया? बराबर फोलो करते हैं
I received a very interesting phone call and I had also not visualized from this angle,"क्योंकि मुझे एक बड़ा इंटरेस्टिंग फोन कॉल आया और मैंने भी शायद इस प्रकार से चीज़ को सोचा नहीं था लेकिन इस बात को उन्होंने जो पकड़ी, इसके लिए मैं उनका आभारी हूँ"
"But, I am thankful to him for having seen the campaign in this way",इसके लिए मैं सबको बधाई देता हूँ
